event_no,event,keyword_1
0,I'll hate Bitches that Snitch. They can ruin ya cheating plans... Oya do fast... We are gathering souls to... http://fb.me/4ILADIhHX,"['yet', 'oya']"
1,1hr to go guys! 1hr to pour in those votes for Bally and Marvis! Them go know say we no dey joke! Oya make u # SaveBallyAndMarvis # BBNaija,"['save bally', 'marvis bbnaija']"
2,Oya Team Efe Voting has started. We can do this. # BBNaija,"['oya', 'bbnaija']"
3,TeamEfe pls let's do more of silent voting....oya legoo!!...we gat this # bbnaija,"['ai ja', 'ja bye', 'bye bye']"
4,We are sure if EFE wins the 25m he will give all other 5 HMs 1m each. oya waht are you waiting for VOTE EFE! # BBNaija,"['efe', 'bbnaija', 'oya', 'vote']"
5,Just posted a photo @Pedro Tea Estate https://www.instagram.com/p/BSrF20DFoGO/,"['photo', 'pedro tea', 'tea estate']"
6,TRAVEL TO YATIYANTOTA - SRI LANKA: http://youtu.be/Rim6nXIEW_Q?a via @ YouTube,"['youtube', 'travel yatiyantota']"
7,"Off to learn about tea picking at Pedro Teat Estate in Nuwara Eliya, Sri Lanka # srilanka # teaplantation # tea http://fb.me/wZ0xE7xn","['pedro', 'estate nuwara', 'nuwara eliya', 'tea plantation']"
8,"Prime Minister, Shri @ narendramodi with the representative of Tamil Progressive Alliance, at Dickoya, in Sri Lanka pic.twitter.com/FuEPX9zTm9","['representative', 'progressive alliance', 'alliance dickoya', 'prime', 'shri narendramodi']"
9,LIVE: PM @ narendramodi addresses Indian origin # tamil community in # Dickoya https://youtu.be/WLKnVlZFg7k pic.twitter.com/9DGN5PCAem,"['origin', 'norwood ground', 'ground dickoya', 'pm modi', 'modi address', 'community norwood']"
10,"PM Shri @ narendramodi inaugurates Dickoya Hospital in Dickoya, Sri Lanka. Watch LIVE at http://bjplive.org pic.twitter.com/JnhaHDPo7u","['dickoya', 'pm narendramodi']"
11,Prime Minister @ narendramodi inaugurated the Dickoya Hospital during his Sri Lanka visit. pic.twitter.com/eV7eTqbuGR,"['prime', 'inaugurate dickoya', 'dickoya hospital']"
12,Tea Plantations of Labookellie Estate along the Nuwara Eliya - Kandy Road http://fb.me/1pSuDaaZ2,"['rd', 'estate']"
13,PM @ narendramodi opens hospital in Dickoya https://goo.gl/klLpHf via @ TimesOnlineLK,"['hospital', 'dickoya', 'pm narendramodi']"
14,Today Am Nuwara Eliya + Estate http://fb.me/8vml3ALf4,"['nuwara eliya', 'eliya estate']"
