date	impact
2018-10-30	8.2192
2018-09-11	13.6691
2018-08-24	-10.1754
2018-08-20	-14.2379
2018-07-16	6.8285
2018-02-08	9.6525
2018-01-29	-9.6154
2018-01-25	-13.7615
2018-01-19	7.5472
2018-01-18	9.8795
2018-01-12	-7.2983
2018-01-09	-10.8911
2017-12-18	-7.3001
2017-12-14	12.2302
2017-12-05	7.2386
2017-09-20	-7.66
2017-09-19	6.867
2017-09-18	11.1607
2017-09-15	9.8131
2017-08-08	-8.4112
2017-07-14	11.215
2017-03-24	-6.8017
2017-03-03	8.2621
2016-07-15	7.6167
2016-05-12	6.7916
2016-05-10	8.5502
2016-04-01	14.2857
2016-03-17	11.8509
2016-03-16	15.3846
2016-03-11	-12.973
2016-03-03	-7.8067
2016-02-18	10.0127
2016-02-17	10.9974
2016-02-15	-9.6774
2016-02-11	-11.1111
2016-02-05	9.5607
2016-02-03	13.8211
2015-11-27	7.2165
2015-11-23	12.6354
2015-10-20	10.7317
2015-10-16	-7.3939
2015-09-28	-6.9767
2015-09-25	-10.1124
2015-06-17	7.7586
2015-03-31	6.999
2015-01-21	7.7213
2014-10-15	7.8947
2014-01-31	7.887
2013-05-29	-7.5746
2013-03-05	-15.4885
