date	impact
2018-12-31	17.1907
2018-10-29	-5.5713
2018-07-18	-6.5712
2018-05-31	6.387
2018-05-10	-5.5258
2018-05-02	4.8186
2018-04-12	7.4063
2018-02-15	-5.8824
2018-02-12	-8.5714
2017-12-28	7.1725
2017-09-06	-8.0802
2017-05-31	-5.1491
2017-05-29	-7.5297
2017-03-29	6.632
2017-02-17	4.943
2017-01-31	8.2753
2017-01-26	5.178
2017-01-24	8.2431
2016-12-29	5.18
2016-12-19	-14.711
2016-11-30	7.1556
2016-11-28	-5.3571
2016-11-25	-7.8261
2016-11-11	5.0289
2016-11-09	-6.0284
2016-11-07	-6.6322
2016-11-03	-9.7091
2016-10-12	5.1314
2016-09-30	-15.6757
2016-09-28	6.7109
2016-08-23	-5.0298
2016-08-05	-5.4264
2016-07-25	-6.8702
2016-07-13	5.4264
2016-06-14	7.6463
2016-05-27	-6.5763
2016-05-19	-7.5857
2016-04-27	5.6662
2015-09-11	-7.2797
2015-09-08	-7.0137
2015-08-12	5.4361
2015-08-10	5.6215
2015-07-13	5.3121
2015-06-05	-6.9839
2015-03-30	5.7742
2015-02-25	4.8737
2014-07-03	5.933
2013-11-15	-5.1241
2013-08-08	-4.7925
2013-08-07	-6.1869
