date	impact
2018-12-31	26.66
2018-05-16	-7.46
2017-09-06	-9.47
2017-06-20	7.33
2017-06-05	8.15
2017-06-02	7.52
2017-05-26	12.31
2017-05-24	12.1
2017-05-19	13.2
2017-05-17	11.67
2017-05-16	10.38
2017-05-15	10.15
2017-05-04	9.98
2017-05-03	9.62
2017-04-28	7.99
2017-04-27	7.92
2017-03-24	-8.63
2017-01-26	-8.24
2017-01-24	-7.29
2017-01-18	-17.3
2017-01-17	-16.4
2017-01-11	-18.06
2016-12-29	-10.84
2016-12-19	-22.07
2016-11-28	-12.1
2016-11-25	-12.32
2016-11-09	-11.3
2016-11-07	-8.27
2016-09-30	-14.99
2016-09-29	9.49
2016-09-28	7.68
2016-08-26	-8.27
2016-08-23	-8.02
2016-07-21	13.89
2016-07-13	10.91
2016-06-09	-8.39
2016-06-07	-7.59
2016-06-02	-8.25
2016-05-31	-7.42
2016-05-30	-7.72
2016-01-20	7.78
2015-12-30	8.24
2015-11-19	10.22
2015-09-07	9.86
2015-07-10	-7.72
2015-07-02	-7.96
2015-06-05	-11.35
2014-07-22	7.46
2014-04-25	-7.35
2013-08-08	-7.54
