date	impact
2018-12-31	6.8933
2018-11-21	-6.9467
2018-11-19	-6.6986
2018-11-14	-8.1299
2018-11-08	6.4846
2018-03-29	-7.7258
2018-03-27	-12.2446
2018-03-26	-10.9289
2018-03-23	-8.4103
2018-03-22	-10.3318
2018-03-16	6.599
2018-03-15	8.9023
2018-03-14	11.4105
2017-09-15	6.8521
2017-09-14	8.5626
2017-09-06	-10.2349
2017-06-16	-7.4494
2017-06-07	-7.8529
2017-06-02	-10.0611
2017-03-31	-7.0185
2017-03-27	-7.9944
2017-03-14	-7.8445
2017-03-09	-9.268
2016-12-21	-7.4345
2016-07-20	6.9424
2016-07-18	8.39
2016-07-15	6.8054
2016-07-13	8.4268
2016-04-26	6.6823
2016-03-24	6.7887
2016-03-21	8.7238
2016-03-17	10.7011
2016-03-16	11.5834
2016-03-03	-7.1391
2015-11-11	-6.8836
2015-11-04	-9.2843
2015-07-13	7.1562
2015-06-30	8.4165
2015-03-31	-8.0756
2015-03-30	-8.0087
2015-03-24	-6.6667
2014-01-16	6.8327
2014-01-09	7.1334
2013-12-27	8.9514
2013-07-29	-8.4357
2013-07-26	-8.3188
2013-07-25	-9.7318
2013-07-18	9.0059
2013-07-17	11.3607
2013-07-16	11.215
