date	colombo_stock_exchange	dhammika_perera	singer_sri_lanka	hayleys	jedb	kelani_valley	exports	tea_board	ceylon_tea	ceylon_tea	russia	sri_lankan_tea	green_tea	turkey	china_tea	tea_exports	hayleys	tea_export	lucille	company_act	indian_tea	max_value	kw_max	daily_news_vector_sum	high	low	close	open	trades	shares	turnover	high_1	low_1	close_1	open_1	trades_1	shares_1	turnover_1	impact	isImpacted
2017-01-24	0.54	0.0	0.0	0.47	-0.0	0.0	0.18	0.55	0.39	0.48	0.5	0.0	-0.0	0.25	0.0	-0.0	-0.47	0.0	-0.0	-0.0	0.0	0.55	tea board	3.4399999999999995	65.0	64.9	65.0	58.6	2.0	100.0	6499.0	8.33	8.17	10.92	0.0	100.0	2400.0	2607.92	8.2431	1.0
2017-01-26	0.28	0.25	0.0	0.47	-0.0	0.0	0.0	0.28	0.4	0.49	0.51	0.0	-0.26	0.13	0.88	-0.0	-0.47	0.0	-0.0	-0.0	0.0	0.88	china tea	3.84	65.0	54.1	65.0	65.0	2.0	3411.0	221704.1	0.0	-16.64	0.0	10.92	0.0	3311.0	3311.36	5.178	1.0
2017-01-31	0.38	0.25	0.0	0.33	-0.0	0.0	0.19	0.0	0.41	0.51	0.26	0.0	-0.0	0.4	0.0	-0.5	-0.33	0.0	-0.0	-0.47	0.0	0.51	ceylon tea	1.94	70.0	69.9	70.0	65.0	3.0	100.0	6999.0	7.69	29.21	7.69	0.0	50.0	-97.07	-96.84	8.2753	1.0
2017-02-01	0.18	0.47	0.0	0.15	-0.0	0.0	0.0	0.0	0.19	0.24	0.24	0.0	-1.0	0.0	0.0	-0.48	-0.15	0.0	-0.0	-0.0	0.0	-1.0	green tea	-1.1599999999999997	70.0	65.0	70.0	70.0	7.0	1925.0	134675.0	0.0	-7.01	0.0	7.69	133.33	1825.0	1824.2	3.7037	
2017-02-03	0.56	0.25	0.0	0.33	-0.0	0.0	0.19	0.29	0.21	0.25	0.26	0.33	-0.0	0.13	0.0	-0.5	-0.33	0.0	-0.0	-0.0	0.0	0.56	colombo stock exchange	2.53	54.0	54.0	70.0	70.0	1.0	1.0	54.0	-22.86	-16.92	0.0	0.0	-85.71	-99.95	-99.96	1.8182	
2017-02-06	0.57	0.5	0.0	0.16	-0.0	0.0	0.18	0.0	0.0	0.77	0.39	0.0	-0.54	0.0	0.0	-0.51	-0.16	0.54	-0.0	-0.47	0.0	0.77	ceylon tea	2.2	70.0	54.2	68.7	70.0	15.0	1425.0	91859.2	29.63	0.37	-1.86	0.0	1400.0	142400.0	170009.63	-1.3994	
2017-02-07	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.28	0.19	0.24	0.5	0.32	-0.26	0.13	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.5	russia	1.9	69.9	69.9	69.9	68.7	2.0	101.0	7059.9	-0.14	28.97	1.75	-1.86	-86.67	-92.91	-92.31	0.3589	
2017-02-09	0.19	0.0	0.0	0.48	-0.0	0.0	0.18	0.0	0.0	0.0	0.39	0.0	-0.53	0.39	0.0	-0.0	-0.48	0.0	-0.0	-0.46	0.0	-0.53	green tea	-0.37	56.1	56.1	69.9	69.9	1.0	1.0	56.1	-19.74	-19.74	0.0	1.75	-50.0	-99.01	-99.21	0.395	
2017-02-13	0.18	0.24	0.0	0.0	-0.0	0.0	0.18	0.27	0.19	0.24	0.56	0.32	-0.26	0.13	0.0	-0.48	-0.0	0.51	-0.0	-0.0	0.0	0.56	russia	2.64	56.2	56.2	69.9	69.9	1.0	3.0	168.6	0.18	0.18	0.0	0.0	0.0	200.0	200.53	0.431	1.0
2017-02-14	0.71	0.0	0.0	0.15	-0.0	0.0	0.17	0.27	0.0	0.0	0.25	0.31	-0.25	0.12	0.0	-0.0	-0.15	0.0	-0.0	-0.0	0.0	0.71	colombo stock exchange	2.29	70.0	69.8	70.0	69.9	5.0	1929.0	134998.4	24.56	24.2	0.14	0.0	400.0	64200.0	79970.23	0.1073	
2017-02-15	0.73	0.0	0.0	0.16	-0.0	0.0	0.18	0.0	0.2	0.25	0.25	0.0	-0.26	0.26	0.0	-0.0	-0.16	0.0	-0.0	-0.0	0.0	0.73	colombo stock exchange	2.34	72.9	57.0	70.6	70.0	10.0	4613.0	325782.0	4.14	-18.34	0.86	0.14	100.0	139.14	141.32	0.7133	
2017-02-16	0.73	0.0	0.0	0.47	-0.0	0.0	0.36	0.27	0.0	0.0	0.12	0.32	-0.0	0.13	0.0	-0.48	-0.47	0.0	-0.0	-0.91	0.0	-0.91	company act	-0.3699999999999999	73.0	69.7	72.8	70.6	6.0	2886.0	210140.3	0.14	22.28	3.12	0.86	-40.0	-37.44	-35.5	2.7886	
2017-02-17	0.34	0.23	0.0	0.0	-0.0	0.0	0.0	0.26	0.0	0.0	0.12	0.0	-0.24	0.12	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.34	colombo stock exchange	1.1700000000000002	76.0	72.8	75.9	72.8	10.0	1946.0	147787.2	4.11	4.45	4.26	3.12	66.67	-32.57	-29.67	4.943	1.0
2017-02-20	0.19	0.0	0.0	0.32	-0.0	0.0	0.18	0.0	0.0	0.0	0.39	0.0	-0.53	0.39	0.0	-0.0	-0.32	0.0	-0.0	-0.46	0.0	-0.53	green tea	-0.37000000000000016	75.0	75.0	75.0	75.9	1.0	500.0	37500.0	-1.32	3.02	-1.19	4.26	-90.0	-74.31	-74.63	1.9368	
2017-02-23	0.18	0.24	0.0	0.16	-0.0	0.0	0.36	0.0	0.2	0.25	0.38	0.0	-0.26	0.38	0.0	-0.0	-0.16	0.0	-0.0	-0.45	0.0	-0.45	company act	0.8300000000000003	58.5	58.5	75.0	75.0	1.0	5.0	292.5	-22.0	-22.0	0.0	-1.19	0.0	-99.0	-99.22	0.4352	
2017-02-27	0.18	0.0	0.0	0.46	-0.0	0.0	0.0	0.27	0.0	0.96	0.25	0.0	-0.25	0.25	0.0	-0.0	-0.46	0.0	-0.0	-0.0	0.0	0.96	ceylon tea	2.62	60.1	60.0	75.0	75.0	3.0	12.0	720.6	2.74	2.56	0.0	0.0	200.0	140.0	146.36	-0.2991	
