date,colombo_stock_exchange,dhammika_perera,singer_sri_lanka,hayleys,jedb,kelani_valley,exports,tea_board,ceylon_tea,ceylon_tea,russia,sri_lankan_tea,green_tea,turkey,china_tea,tea_exports,hayleys,tea_export,lucille,company_act,indian_tea,kalu_ganga,glyphosate,leopard,urea,dengue,water_supply,fertilizer_,glyphosate_,bus_strike,fruit_fly,paddy,drought,estate,rubber,kidney_disease,floods,maize,fertilizer,protest,flooding,landslides,political_crisis,heavy_rain,curry_leaves,max_value,kw_max,daily_news_vector_sum,high,low,close,open,trades,shares,turnover,high_1,low_1,close_1,open_1,trades_1,shares_1,turnover_1,impact,isImpacted
2017-01-24,0.4,0.16,0,0.17,0,0,0.22,0.82,0.25,0.25,0.47,0,-0.59,0.67,0,0,-0.17,0,0,-0.43,0,-0.39,-0.43,0,0.31,-0.22,0,0,-0.43,0,0,0.29,0.32,-0.79,-0.41,0,0,0.45,0,-0.26,-0.15,-0.32,0,-0.87,-0.42,-0.87,heavy rain,-1.97,65,64.9,65,58.6,2,100,6499,8.33,8.17,10.92,0,100,2400,2607.92,8.2431,1
2017-01-26,0,0.32,0,0.35,0,0,0,0.42,0,0,0.24,0,-0.59,0,0,0,-0.35,0,0,-0.44,0,0,-0.44,0,0.63,-0.04,-0.22,-0.75,-0.44,0,0,0.15,0,-0.34,-0.41,0,0,0,0.75,-0.18,0,0,0,0,0,-0.75,fertilizer ,-2.09,65,54.1,65,65,2,3411,221704.1,0,-16.64,0,10.92,0,3311,3311.36,5.178,1
2017-01-31,0.62,0.17,0,0.45,0,0,0.23,0,0.79,0.79,0.18,0,-0.49,0.35,0,0,-0.45,0,0,0,0,0,0,-0.33,0.32,-0.11,-0.46,0,0,0,0,0,0.66,-0.35,-0.7,-0.31,0,0,0,0,0,0,0,0,0,0.79,Ceylon Tea,2.15,70,69.9,70,65,3,100,6999,7.69,29.21,7.69,0,50,-97.07,-96.84,8.2753,1
2017-02-01,0.57,0.15,0,0.33,0,0,0.22,0.4,0.24,0.24,0.11,0,-0.9,0.32,0.85,0,-0.33,0,0,0,0,0,0,-0.31,0.3,-0.24,-0.21,0,0,0,0,0,0,-0.43,-0.52,-0.28,0,0.44,0,-0.33,0,0,0,0,0,-0.9,green tea,-0.28,70,65,70,70,7,1925,134675,0,-7.01,0,7.69,133.33,1825,1824.2,3.7037,0
2017-02-03,0,0.33,0,0.18,0,0,0.23,0.43,0.39,0.39,0.3,0.35,-0.48,0.17,0,-0.89,-0.18,0,0,-0.45,0,0,0,0,0.96,-0.19,-0.45,0,0,0,0,0.3,0,-0.58,-0.14,0,0,0.46,0,0,0,0,0,0,0,0.96,urea,2.09,54,54,70,70,1,1,54,-22.86,-16.92,0,0,-85.71,-99.95,-99.96,1.8182,0
2017-02-06,0.41,0.17,0,0,0,0,0.47,0,0,0,0.3,0.35,-0.73,0.26,0,-0.9,0,0.38,0,-0.68,0,0,0,-0.33,0.65,-0.19,-0.23,0,0,0,0,0.46,0,-0.35,-0.14,-0.31,0,0,0,-0.18,0,0,0,0,0,-0.9,tea exports,-1.49,70,54.2,68.7,70,15,1425,91859.2,29.63,0.37,-1.86,0,1400,142400,170009.63,-1.3994,0
2017-02-07,0,0,0,0.35,-0.89,0,0.68,0.41,0.38,0.38,0.23,0,-0.47,0,0,0,-0.35,0,0,0,0,0,0,0,0,-0.04,-0.44,0,0,0,0,0.15,0.32,-0.22,-0.94,0,0,0,0,-0.17,-0.15,0,0,0,-0.84,-0.94,rubber,-2.55,69.9,69.9,69.9,68.7,2,101,7059.9,-0.14,28.97,1.75,-1.86,-86.67,-92.91,-92.31,0.3589,0
2017-02-09,0,0,0,0.45,0,0,0.23,0,0.26,0.26,0.36,0,-0.48,0.17,0,0,-0.45,0,0,0,0,0,0,-0.5,0.32,-0.07,-0.45,0,0,0,-0.86,0.3,0,-0.12,-0.28,0,0,0,0,-0.18,0,0,0,0,-0.43,-0.86,fruit fly,-2.33,56.1,56.1,69.9,69.9,1,1,56.1,-19.74,-19.74,0,1.75,-50,-99.01,-99.21,0.395,0
2017-02-13,0,0.16,0,0.34,0,0,0.67,0.41,0.25,0.25,0.41,0.34,-0.58,0.33,0,0,-0.34,0.36,0,0,0,-0.38,0,-0.64,0.31,-0.25,-0.22,-0.49,0,0,0,0,0,-0.45,-0.27,0,0,0.45,0.49,-0.35,0,0,0,0,0,0.67,exports,1.47,56.2,56.2,69.9,69.9,1,3,168.6,0.18,0.18,0,0,0,200,200.53,0.431,1
2017-02-14,0.39,0.16,0,0.17,0,0,0.33,0,0.25,0.25,0.34,0,-0.23,0.16,0,0,-0.17,0,0,0,0,0,0,0,0.46,-0.07,-0.22,0,0,0,0,0.14,0,0,-0.13,0,0,0,0,-0.17,-0.15,0,0,0,0,0.46,urea,1.97,70,69.8,70,69.9,5,1929,134998.4,24.56,24.2,0.14,0,400,64200,79970.23,0.1073,0
2017-02-15,0.2,0,0,0.17,0,0,0,0,0.26,0.26,0.29,0.35,-0.24,0.33,0,0,-0.17,0.36,0,0,0,0,0,-0.64,0.63,-0.14,0,-0.5,0,0,0,0.44,0,-0.34,-0.27,-0.3,0,0,0.5,0,0,0,0,0,0,-0.64,leopard,0.55,72.9,57,70.6,70,10,4613,325782,4.14,-18.34,0.86,0.14,100,139.14,141.32,0.7133,0
2017-02-16,0,0,0,0.52,0,0,0.79,0.41,0.25,0.25,0.29,0,-0.24,0.17,0,0,-0.52,0,0,-0.44,0,0,0,-0.32,0.31,-0.07,-0.55,0,0,0,0,0.29,0,-0.34,-0.27,-0.3,0,0,0,-0.18,0,0,0,0,0,0.79,exports,0.84,73,69.7,72.8,70.6,6,2886,210140.3,0.14,22.28,3.12,0.86,-40,-37.44,-35.5,2.7886,0
