,max_value,daily_news_vector_sum,high,low,close,open,trades,shares,turnover,impact,impact_score
max_value,1.0,0.831,0.02,-0.0,0.045,0.053,0.213,0.143,0.151,-0.036,0.052
daily_news_vector_sum,0.831,1.0,0.038,0.012,0.043,0.054,0.183,0.112,0.117,-0.082,0.01
high,0.02,0.038,1.0,0.904,0.817,0.783,0.337,0.26,0.294,-0.107,-0.092
low,-0.0,0.012,0.904,1.0,0.826,0.789,0.136,0.115,0.155,-0.101,-0.077
close,0.045,0.043,0.817,0.826,1.0,0.954,0.207,0.096,0.144,-0.061,-0.223
open,0.053,0.054,0.783,0.789,0.954,1.0,0.185,0.134,0.179,-0.296,-0.205
trades,0.213,0.183,0.337,0.136,0.207,0.185,1.0,0.654,0.662,-0.062,-0.027
shares,0.143,0.112,0.26,0.115,0.096,0.134,0.654,1.0,0.997,-0.177,-0.005
turnover,0.151,0.117,0.294,0.155,0.144,0.179,0.662,0.997,1.0,-0.176,-0.023
impact,-0.036,-0.082,-0.107,-0.101,-0.061,-0.296,-0.062,-0.177,-0.176,1.0,0.008
impact_score,0.052,0.01,-0.092,-0.077,-0.223,-0.205,-0.027,-0.005,-0.023,0.008,1.0
