date,high,low,close,open,trades,shares,turnover
2013-01-02,84,80,82.1,82.1,5,672,55142
2013-01-03,84,84,84,82.1,2,200,16800
2013-01-07,84,82.5,83,84,8,1100,91084
2013-01-08,86.5,77.1,85,83,13,3971,334402
2013-01-09,86,80.1,84.9,85,22,3397,290053
2013-01-10,82.5,81,81,84.9,34,8400,681004
2013-01-15,84.3,84,84.1,81,2,300,25225
2013-01-16,83.5,78.4,83.3,84.1,7,856,69909
2013-01-17,85,80,83.2,83.3,23,2657,220976
2013-01-18,85.9,82,84,83.2,12,1501,126119
2013-01-21,85,82,83.8,84,3,500,41900
2013-01-24,83,83,83,83.8,1,500,41500
2013-01-28,83,83,83,83,1,500,41500
2013-01-30,84.9,81.2,84.2,83,13,1258,104587
2013-02-01,84.4,81.2,83,84.2,6,558,46075
2013-02-07,87,83.5,85.1,83,4,308,26222
2013-02-08,86.5,85,85,85.1,5,542,46301
2013-02-11,86.5,85.9,86,85,7,1500,129210
2013-02-12,86,85.2,85.7,86,10,1371,117471
2013-02-13,85.7,85,85,85.7,5,830,70751
2013-02-14,85.5,85.5,85.5,85,2,100,8550
2013-02-15,85,82,85,85.5,2,504,41913
2013-02-18,85.5,85,85,85,2,205,17441
2013-02-19,85,80.3,85,85,3,233,19782
2013-02-20,85,85,85,85,1,100,8500
2013-02-21,84,80.3,83.9,85,4,249,20525
2013-02-22,88.9,86,86,83.9,35,4252,369642
2013-02-26,87,83,83.3,86,16,1155,96207
2013-02-27,86,83.5,84.2,83.3,4,700,58929
2013-02-28,86,83,85,84.2,6,536,45718
2013-03-01,88,85,85.8,85,8,1300,111537
2013-03-05,87.9,86,87.1,85.8,5,500,43570
2013-03-06,88,87.5,87.8,87.1,7,2810,246730
2013-03-07,89.2,86,87.3,87.8,9,1705,148922
2013-03-08,87.9,85,87.9,87.3,3,294,25380
2013-03-11,88,86,86.3,87.9,8,4012,346310
2013-03-12,88,88,88,86.3,1,1,88
2013-03-13,88.9,85.3,88.8,88,6,104,9232
2013-03-14,88,85,86.4,88.8,14,954,81875
2013-03-15,88,87.9,87.9,86.4,2,3000,263701
2013-03-18,87.9,87.9,87.9,87.9,1,2,176
2013-03-19,87.4,85.5,86.1,87.9,8,621,53365
2013-03-20,87.9,85.5,87.4,86.1,7,1002,87061
2013-03-21,87.8,87,87,87.4,2,1050,91390
2013-03-22,89,87,87.8,87,7,511,44811
2013-03-25,90,87.8,87.8,87.8,14,1227,108359
2013-03-27,89.8,87,89.1,87.8,35,14580,1293003
2013-03-28,89.7,84,85.2,89.1,17,59265,4989914
2013-04-01,86.5,74.3,85.1,85.2,13,5397,454149
2013-04-02,84,84,84,85.1,1,20,1680
2013-04-03,84,84,84,84,1,1,84
2013-04-04,83,83,83,84,1,95,7885
2013-04-05,84,81,84,83,4,800,66500
2013-04-08,85,80.1,80.1,84,11,6951,588471
2013-04-09,84.4,80.1,83.3,80.1,4,210,17500
2013-04-10,84.4,84.4,84.4,83.3,1,1,84
2013-04-12,84.4,84.4,84.4,84.4,1,100,8440
2013-04-17,84,80.5,84,84.4,2,101,8481
2013-04-18,84,80,84,84,2,101,8480
2013-04-19,83,80.2,80.2,84,5,315,25274
2013-04-23,80.7,80.5,80.7,80.2,7,3210,258472
2013-04-24,84.5,83.9,84.1,80.7,3,200,16820
2013-04-30,84,83.7,83.9,84.1,3,1000,83935
2013-05-06,82,76.1,82,83.9,7,808,66111
2013-05-07,83.9,80,80.4,82,2,921,74070
2013-05-08,82.5,80,81.2,80.4,5,154,12511
2013-05-09,82.5,80.3,80.3,81.2,2,11,905
2013-05-10,83,80.3,82.6,80.3,3,135,11067
2013-05-13,85,82.9,84.8,82.6,8,4000,339287
2013-05-16,84.5,84.5,84.5,84.8,1,1,85
2013-05-17,84.9,80.5,84.3,84.5,9,791,66392
2013-05-20,85,81,84.9,84.3,5,453,37489
2013-05-21,82,81,81.3,84.9,3,1700,138200
2013-05-22,81.3,81.3,81.3,81.3,1,5,407
2013-05-27,81.5,81.5,81.5,81.3,1,47,3831
2013-05-28,84,84,84,81.5,2,302,25368
2013-05-29,84,80,82.9,84,13,1330,110266
2013-05-30,84,84,84,82.9,1,1,84
2013-05-31,83.9,83.9,83.9,84,1,4,336
2013-06-03,85,83.9,84,83.9,6,2301,193301
2013-06-04,90,84.9,85.1,84,16,21929,1866449
2013-06-05,85,85,85,85.1,1,1,85
2013-06-06,84,77.4,81.2,85,7,1801,145834
2013-06-07,81,80,80.8,81.2,3,189,15272
2013-06-10,83,83,83,80.8,1,1,83
2013-06-11,83,83,83,83,3,301,24983
