date,high,low,close,open,impact,trades,shares
2013-01-02,79,77.5,79,78,1.28,4,1723
2013-01-03,81.8,80,80.3,79,1.65,3,617
2013-01-07,80,75.2,76.5,80.3,-4.73,5,872
2013-01-08,75.3,75.3,75.3,76.5,-1.57,1,18
2013-01-09,79,75.4,78.9,75.3,4.78,6,566
2013-01-10,75.4,75.4,75.4,78.9,-4.44,1,5
2013-01-15,75.4,75.1,75.1,75.4,-0.4,5,311
2013-01-16,79,75,77.5,75.1,3.2,5,564
2013-01-17,80,77.5,79.5,77.5,2.58,9,1873
2013-01-18,80,72.2,73.2,79.5,-7.92,10,1450
2013-01-21,75.2,72.2,72.5,73.2,-0.96,11,1263
2013-01-22,77,72.1,76.8,72.5,5.93,9,3155
2013-01-23,79.5,73.1,77.4,76.8,0.78,13,3600
2013-01-24,79,75.2,79,77.4,2.07,7,2505
2013-01-28,79,75,76.9,79,-2.66,10,2495
2013-01-29,78.7,73,77.4,76.9,0.65,11,956
2013-01-31,73,72,73,77.4,-5.68,4,203
2013-02-01,76.9,72.1,73.6,73,0.82,2,317
2013-02-05,72.3,72.3,72.3,73.6,-1.77,1,12
2013-02-07,78,73,73,72.3,0.97,4,410
2013-02-11,79.9,72.3,74.8,73,2.47,19,2993
2013-02-12,78.9,73.4,78,74.8,4.28,4,351
2013-02-13,74.1,74,74.1,78,-5,5,352
2013-02-14,75,74.2,74.2,74.1,0.13,2,128
2013-02-15,77,73.2,73.5,74.2,-0.94,10,958
2013-02-18,73.5,73.4,73.4,73.5,-0.14,7,525
2013-02-19,77.4,72,75.8,73.4,3.27,7,325
2013-02-20,72.6,72.3,72.4,75.8,-4.49,19,1669
2013-02-21,72.4,72.4,72.4,72.4,0,6,500
2013-02-22,72.3,72.2,72.2,72.4,-0.28,4,785
2013-02-26,72.3,72.2,72.2,72.2,0,8,1087
2013-02-27,75,72,75,72.2,3.88,11,1564
2013-02-28,72,70.1,70.1,75,-6.53,5,700
2013-03-01,72,70.1,70.1,70.1,0,4,380
2013-03-04,72.6,70.5,70.5,70.1,0.57,8,1833
2013-03-05,70.6,70.6,70.6,70.5,0.14,1,209
2013-03-06,74.9,72,73,70.6,3.4,8,11700
2013-03-07,74.8,71.1,74.8,73,2.47,6,1239
2013-03-08,74.5,71.2,74,74.8,-1.07,10,56817
2013-03-11,78,74.8,77,74,4.05,33,132703
2013-03-12,75,73,73.4,77,-4.68,7,948
2013-03-13,75.6,73.2,73.5,73.4,0.14,5,5814
2013-03-14,75.5,75.5,75.5,73.5,2.72,6,8934
2013-03-15,74,73.6,73.6,75.5,-2.52,5,599
