date,high,low,close,open,traders,shares,turnover
2013-01-02,35,33,33.8,33.8,17,7271,244565
2013-01-03,33.1,33,33,33.8,6,700,23104.1
2013-01-07,32.6,32.6,32.6,33,1,18,586.8
2013-01-08,32.5,32.5,32.5,32.6,1,1,32.5
2013-01-09,32.5,31.4,32.5,32.5,2,204,6625.6
2013-01-16,33,33,33,32.5,3,600,19800
2013-01-18,34.4,31.6,31.6,33,8,288,9129.6
2013-01-21,32,31.5,32,31.6,2,102,3263
2013-01-22,33.9,29,33.9,32,7,703,21271.6
2013-01-24,33.8,32,32,33.9,2,101,3233.8
2013-01-28,32.2,30.8,31.9,32,12,3220,102720
2013-01-29,31.2,31.2,31.2,31.9,2,13062,407534.4
2013-01-31,32.4,32.4,32.4,31.2,2,50,1620
2013-02-01,32.4,31.8,32.2,32.4,3,101,3251.8
2013-02-05,32.5,30.8,31,32.2,10,1150,35864
2013-02-06,31,30.9,31,31,2,20,619
2013-02-07,32.8,32.8,32.8,31,1,100,3280
2013-02-08,31.4,31.4,31.4,32.8,1,50,1570
2013-02-11,31.5,31.4,31.4,31.4,3,400,12575
2013-02-12,32.8,31.4,32.8,31.4,5,163,5204.4
2013-02-14,32,32,32,32.8,2,1197,38304
2013-02-15,32.5,32,32.5,32,5,1783,57061
2013-02-18,31.7,31.6,31.6,32.5,4,890,28132
2013-02-19,32,31.5,31.6,31.6,5,1762,55673.2
2013-02-21,34,31.5,31.6,31.6,9,132,4222
2013-02-22,33.2,33.2,33.2,31.6,2,2,66.4
2013-02-27,33.1,31.5,32.9,33.2,3,11,362.4
2013-03-01,33.2,33.2,33.2,32.9,1,1,33.2
2013-03-05,33.2,26.6,26.6,33.2,4,311,9665.2
2013-03-06,30,27.1,30,26.6,10,12000,331000
2013-03-07,30,28.5,30,30,6,3789,112786.5
2013-03-08,29,29,29,30,1,1000,29000
2013-03-11,29.9,28.3,29.3,29,14,2393,70166.4
2013-03-12,28.6,28.6,28.6,29.3,1,28,800.8
2013-03-13,29.8,28.8,29.4,28.6,4,1102,32442.6
2013-03-14,29.8,29.8,29.8,29.4,1,38,1132.4
2013-03-15,29.1,28.8,29,29.8,4,2500,72201.5
2013-03-18,31,30.5,30.5,29,4,1301,39681
2013-03-19,30.5,30.4,30.5,30.5,3,525,16012
2013-03-20,30.5,30.4,30.5,30.5,5,1011,30830.5
2013-03-21,32,30.5,31.3,30.5,15,12644,385979.5
2013-03-22,35.5,30,32,31.3,27,16049,552632
2013-03-25,34.8,33,33,32,4,1011,33364.8
2013-03-27,32,31,31,33,14,14304,443540.5
2013-03-28,34.9,32.9,33.9,31,13,14202,491487.4
2013-04-01,33,32,32.4,33.9,8,1330,43070
2013-04-02,32,31.1,32,32.4,4,224,6984.4
2013-04-03,33.8,32.3,33.1,32,26,6658,220479.5
2013-04-04,31.3,31.1,31.2,33.1,6,713,22219
2013-04-05,33.4,31.3,33.4,31.2,4,61,2016.4
2013-04-08,33.5,33.5,33.5,33.4,1,100,3350
2013-04-10,34,32,33.8,33.5,7,3134,105862.5
2013-04-11,34,34,34,33.8,5,150,5100
2013-04-12,33.9,33.7,33.9,34,4,151,5116.7
2013-04-16,34,33.9,34,33.9,8,1004,34100
2013-04-17,34,33.6,33.6,34,8,1807,60816.8
2013-04-18,34.4,33,33.3,33.6,5,263,8802.4
2013-04-19,33.1,32.5,32.7,33.3,7,4000,130851
2013-04-22,34.3,32.7,34.3,32.7,4,201,6579.3
2013-04-23,35.6,33.1,33.2,34.3,9,215,7191.9
2013-04-24,34.3,32.6,32.9,33.2,11,3259,107314.5
2013-04-26,34.3,33.5,34.3,32.9,16,1144,38437.8
2013-04-29,34.5,32.6,33.7,34.3,19,3720,126151.6
2013-04-30,33.9,33.9,33.9,33.7,3,900,30510
2013-05-02,34,32.5,34,33.9,8,3020,98442.5
2013-05-03,33.9,33.9,33.9,34,2,51,1728.9
2013-05-06,34,33,33.1,33.9,18,5101,168906.8
2013-05-07,33,32.5,32.5,33.1,14,8775,287268.3
2013-05-08,32.8,32.6,32.8,32.5,2,549,17997.4
2013-05-09,35.4,33,34.8,32.8,94,37660,1301966.2
2013-05-10,35.4,34.5,35.2,34.8,26,6785,235665.5
2013-05-13,35.3,35,35.2,35.2,33,2732,96128.5
2013-05-14,35.4,35,35.2,35.2,9,318,11196.4
2013-05-15,35.4,34.9,35.1,35.2,24,3157,110450.7
2013-05-16,35.2,34.6,35,35.1,11,270,9448.2
2013-05-17,35,34.6,34.9,35,22,4697,164087.8
2013-05-20,35,34,34,34.9,26,3521,120157.1
2013-05-21,34.9,34.2,34.3,34,14,3836,132991.7
2013-05-22,35,34,34.2,34.3,28,8130,279941.8
2013-05-23,34.9,34,34.5,34.2,4,1102,38018.9
2013-05-27,34.5,33.8,33.9,34.5,25,5670,192913.3
2013-05-28,33,32,32.1,33.9,19,6020,194499.2
2013-05-29,32.7,30.1,30.2,32.1,13,2712,83731.7
2013-05-30,32,30.1,31.4,30.2,6,1316,39778.2
2013-05-31,30.5,30.3,30.4,31.4,5,2000,60900
2013-06-03,32,30.3,30.8,30.4,18,623,19350.6
2013-06-04,31.9,30.6,30.6,30.8,6,327,10136.2
2013-06-05,31.7,30.1,30.3,30.6,18,2064,62520.5
2013-06-06,31.7,23,29.3,30.3,28,6562,192128.5
2013-06-07,31.2,29.1,31.2,29.3,2,6,176.7
2013-06-10,29.3,29.3,29.3,31.2,3,99,2900.7
2013-06-11,29.3,29.1,29.2,29.3,4,248,7245
2013-06-12,29.2,29.2,29.2,29.2,1,20,584
2013-06-13,30.3,29,29.1,29.2,11,1727,50217.3
2013-06-14,28.6,28.6,28.6,29.1,4,18,514.8
2013-06-17,29.8,28.6,28.9,28.6,15,1105,32124.2
2013-06-18,29.8,27.6,28.2,28.9,9,2170,61211.8
2013-06-20,27.6,27.3,27.4,28.2,13,5920,162782
2013-06-21,27.1,27,27,27.4,4,456,12334
2013-06-24,27.1,27.1,27.1,27,1,1,27.1
2013-06-26,28.8,27.3,27.3,27.1,5,1530,44012
2013-07-01,28,27,27.1,27.3,8,2264,61341.8
2013-07-02,28,27,28,27.1,5,1370,37118
2013-07-03,27.9,27.9,27.9,28,4,104,2901.6
2013-07-04,26.7,26.7,26.7,27.9,1,217,5793.9
2013-07-05,26.8,26.7,26.7,26.7,3,320,8550
2013-07-08,26.8,26.8,26.8,26.7,3,200,5360
2013-07-09,26.9,26.7,26.8,26.8,4,254,6801.8
2013-07-10,26.2,26,26.1,26.8,5,520,13552
2013-07-11,26,25,25.7,26.1,8,451,11611.6
2013-07-12,25.1,25,25.1,25.7,12,3465,86829.6
2013-07-15,25.1,25.1,25.1,25.1,2,600,15060
2013-07-16,27.1,25,25,25.1,9,85,2188.6
2013-07-19,26,24,24.3,25,51,30367,733181.9
2013-07-23,25.5,24.5,24.9,24.3,11,10348,258288
2013-07-24,24.5,24.3,24.3,24.9,6,1770,43041
2013-07-25,25,24,24.5,24.3,30,169023,4139939
2013-07-26,24.5,24.5,24.5,24.5,1,50,1225
2013-07-29,24.7,24.7,24.7,24.5,1,500,12350
2013-07-30,25,24.7,24.8,24.7,6,1200,29790
2013-07-31,25.3,24.6,24.7,24.8,7,1122,27636.7
2013-08-01,25,25,25,24.7,2,1030,25750
2013-08-02,24.7,24.7,24.7,25,2,130,3211
2013-08-06,25,25,25,24.7,1,4,100
2013-08-07,25,24.7,24.7,25,3,297,7338.9
2013-08-08,25,24.6,24.7,24.7,5,400,9890.6
2013-08-13,24.5,24.5,24.5,24.7,3,260,6370
2013-08-14,24.1,24,24,24.5,10,1060,25442
2013-08-15,24,24,24,24,2,1000,24000
2013-08-19,25,23.7,24.6,24,8,401,9849.4
2013-08-22,24.7,23.8,24,24.6,7,992,23827.8
2013-08-23,23.7,23.7,23.7,24,3,110,2607
2013-08-26,23.7,23.5,23.6,23.7,9,1600,37781.1
2013-08-27,24.8,23.5,23.9,23.6,4,277,6630.8
2013-08-28,23.5,23.1,23.5,23.9,2,104,2442.4
2013-08-29,23.5,23,23.2,23.5,15,3321,76854.7
2013-08-30,23.6,23,23,23.2,15,1566,36022.8
2013-09-02,23,23,23,23,1,2,46
2013-09-03,23,22.8,22.9,23,10,4340,99185.8
2013-09-04,22.7,22.6,22.7,22.9,5,1060,24061
2013-09-05,25.2,22.3,23.9,22.7,14,5140,127766.1
2013-09-06,22.3,22.3,22.3,23.9,1,8,178.4
2013-09-09,22.2,22,22.1,22.3,6,2200,48520.6
2013-09-10,22.5,22.2,22.5,22.1,4,2050,46110
2013-09-11,23.5,22.7,23.3,22.5,9,1929,44689.5
2013-09-13,23.3,23.2,23.3,23.3,3,123,2856.1
2013-09-16,23.5,23.1,23.5,23.3,3,2078,48832.6
2013-09-18,24,24,24,23.5,3,210,5040
2013-09-20,24.5,24.5,24.5,24,3,3300,80850
2013-09-23,24.5,23,23,24.5,8,1701,40673
2013-09-24,23.5,23,23,23,5,542,12516
2013-09-25,23.5,23.1,23.2,23,3,302,6997
2013-09-26,23,22.1,22.9,23.2,17,3661,81578
2013-09-27,23.5,23.5,23.5,22.9,4,1498,35203
2013-09-30,22.9,22.9,22.9,23.5,1,99,2267.1
2013-10-02,23.9,23.9,23.9,22.9,2,2,47.8
2013-10-03,23.6,23.5,23.5,23.9,4,601,14126.1
2013-10-04,23.3,22.8,23.3,23.5,8,5203,121208.4
2013-10-07,24.4,24.4,24.4,23.3,1,2,48.8
2013-10-08,24.4,24,24.4,24.4,18,7809,189257.4
2013-10-09,25,24.3,24.3,24.4,62,125253,3093720.6
2013-10-11,24.7,24.7,24.7,24.3,1,10,247
2013-10-14,24.6,24,24,24.7,7,4701,112864.1
2013-10-15,24.5,24,24,24,13,2221,53644
2013-10-17,24,24,24,24,5,2560,61440
2013-10-21,24.8,23.6,23.7,24,10,1169,27696
2013-10-22,24,23.7,23.8,23.7,7,1580,37620
2013-10-23,24,24,24,23.8,1,1,24
2013-10-25,24.6,23.6,23.7,24,14,2421,57479.6
2013-10-28,24.5,24,24,23.7,4,43,1033.5
2013-10-29,24.6,24.6,24.6,24,1,30,738
2013-10-30,24.4,24.4,24.4,24.6,1,10,244
2013-11-01,24,23.9,24,24.4,2,201,4823.9
2013-11-04,24.4,23.8,23.9,24,13,2634,62913
