date,high,low,close,open,trades,shares,turnover
2013-01-02,12.8,12,12.7,12.7,15,"15,571","197,481.30"
2013-01-03,12.9,12.6,12.6,12.7,8,"5,105","65,523.00"
2013-01-04,12.5,12.1,12.5,12.6,3,3,37.1
2013-01-07,12.7,12,12,12.5,8,898,"10,834.90"
2013-01-08,12.5,12,12.5,12,11,"16,220","202,440.20"
2013-01-09,12.6,12.6,12.6,12.5,2,2,25.2
2013-01-10,12.8,12.5,12.5,12.6,23,"26,619","333,899.90"
2013-01-11,12.6,12.5,12.5,12.5,9,"17,776","222,200.20"
2013-01-15,13.3,12.6,12.9,12.5,24,"12,430","160,915.70"
2013-01-16,13.2,13,13.1,12.9,15,"6,533","85,333.00"
2013-01-17,13.1,13,13.1,13.1,13,"19,448","254,464.40"
2013-01-18,13.1,12.6,13,13.1,18,"6,932","89,449.30"
2013-01-21,13,12.6,12.6,13,7,"2,310","29,596.70"
2013-01-22,12.9,12.5,12.8,12.6,11,"5,109","65,090.40"
2013-01-23,12.9,12.6,12.6,12.8,9,27,341.1
2013-01-24,12.9,12.6,12.6,12.6,5,920,"11,592.30"
2013-01-28,12.6,12.6,12.6,12.6,8,"10,526","132,627.60"
2013-01-29,13.2,12.6,12.6,12.6,4,"2,521","31,766.70"
2013-01-30,13.1,12.5,12.6,12.6,6,"14,396","181,067.30"
2013-01-31,13.1,12.8,12.9,12.6,13,"5,101","66,187.00"
2013-02-01,13.1,12.5,12.6,12.9,9,"4,773","59,963.10"
2013-02-05,13.6,12.8,12.9,12.6,34,"13,303","175,965.30"
2013-02-06,13.7,13.6,13.7,12.9,3,300,"4,100.00"
2013-02-07,13.8,12.7,13.2,13.7,12,"5,447","73,636.90"
2013-02-08,12.7,12.7,12.7,13.2,1,100,"1,270.00"
2013-02-11,13,12.8,12.8,12.7,5,"4,500","58,400.00"
2013-02-12,13.4,12.7,13.3,12.8,17,"25,556","332,693.10"
2013-02-13,13.6,13.4,13.4,13.3,22,"8,750","117,976.90"
2013-02-14,13.3,13.2,13.3,13.4,7,"12,400","164,900.00"
2013-02-15,13.4,13,13,13.3,17,"5,270","68,655.50"
2013-02-18,12.9,12.8,12.8,13,4,566,"7,254.80"
2013-02-19,13.2,12.8,13.2,12.8,7,"16,502","217,505.60"
2013-02-20,13,12.8,13,13.2,9,"26,062","338,493.60"
2013-02-21,13.2,12.8,13,13,6,"22,107","285,975.60"
2013-02-22,13.2,12.5,12.6,13,14,"11,879","152,371.30"
2013-02-26,13,12.3,13,12.6,4,"5,904","74,249.20"
2013-02-27,12.3,12.3,12.3,13,1,167,"2,054.10"
2013-02-28,12.8,12.8,12.8,12.3,1,2,25.6
2013-03-01,12.8,12.5,12.8,12.8,3,618,"7,904.40"
2013-03-04,12.5,12.3,12.3,12.8,6,"3,700","45,670.00"
2013-03-05,12.3,12.3,12.3,12.3,4,"1,400","17,220.00"
2013-03-06,12.5,11.5,11.6,12.3,4,"15,388","191,977.80"
2013-03-07,12.5,11.3,12,11.6,19,"12,941","152,040.10"
2013-03-08,12,11.4,11.5,12,16,"7,149","83,068.60"
2013-03-11,12.2,12.1,12.1,11.5,3,800,"9,710.00"
2013-03-12,12.4,12,12,12.1,5,"2,600","31,279.60"
2013-03-13,12.3,11.8,12,12,3,"10,200","122,410.00"
2013-03-14,12,11.5,11.7,12,7,"2,200","25,734.00"
2013-03-15,11.6,11.6,11.6,11.7,2,"3,000","34,800.00"
2013-03-19,12,12,12,11.6,1,25,300
2013-03-20,12,11.3,11.3,12,5,863,"10,158.00"
2013-03-25,12.5,12.5,12.5,11.3,1,1,12.5
2013-03-27,11.6,11.5,11.5,12.5,8,"1,998","23,087.00"
2013-03-28,11.6,11.5,11.5,11.5,4,"4,201","48,511.50"
2013-04-01,11.6,11.4,11.5,11.5,13,"7,752","89,253.30"
2013-04-02,11.5,11.4,11.5,11.5,6,"5,510","62,850.00"
2013-04-03,11.5,11.5,11.5,11.5,3,451,"5,186.50"
2013-04-04,11.2,11.2,11.2,11.5,1,66,739.2
2013-04-05,11.9,11,11.6,11.2,18,"20,834","239,763.60"
2013-04-08,11.9,11,11.5,11.6,4,"1,202","14,182.00"
2013-04-09,11.7,11.5,11.7,11.5,9,"1,700","19,620.00"
2013-04-10,12.4,11.9,12.1,11.7,6,"14,105","168,127.30"
2013-04-11,12,12,12,12.1,1,"5,000","60,000.00"
2013-04-12,12.3,12.3,12.3,12,2,"1,000","12,300.00"
2013-04-16,12.3,12,12.3,12.3,7,"1,800","21,769.00"
2013-04-17,12,11.8,11.8,12.3,14,"15,010","179,010.00"
2013-04-18,12.1,12.1,12.1,11.8,1,200,"2,420.00"
2013-04-19,12.3,12,12.3,12.1,2,"1,167","14,304.00"
2013-04-22,12.4,12,12.3,12.3,6,"1,926","23,719.60"
2013-04-23,12.8,12.4,12.8,12.3,19,"15,603","196,581.70"
2013-04-24,13.1,12.4,12.7,12.8,10,"3,721","47,894.90"
2013-04-26,12.2,12.2,12.2,12.7,3,200,"2,440.00"
2013-04-29,12.3,12.3,12.3,12.2,2,"2,850","35,055.00"
2013-04-30,12.3,12.1,12.3,12.3,4,"1,000","12,240.00"
2013-05-02,13,12,12,12.3,17,"8,387","102,730.00"
2013-05-03,13,12.5,12.9,12,8,"5,590","72,465.80"
