date,high,low,close,open,trades,shares,turnover
2013-01-02,79,77.5,79,79,4,1723,135150.5
2013-01-03,81.8,80,80.3,79,3,617,49570.6
2013-01-07,80,75.2,76.5,80.3,5,872,66750.4
2013-01-08,75.3,75.3,75.3,76.5,1,18,1355.4
2013-01-09,79,75.4,78.9,75.3,6,566,44091.3
2013-01-10,75.4,75.4,75.4,78.9,1,5,377
2013-01-15,75.4,75.1,75.1,75.4,5,311,23389.5
2013-01-16,79,75,77.5,75.1,5,564,43564.1
2013-01-17,80,77.5,79.5,77.5,9,1873,148476.5
2013-01-18,80,72.2,73.2,79.5,10,1450,106795
2013-01-21,75.2,72.2,72.5,73.2,11,1263,92001.7
2013-01-22,77,72.1,76.8,72.5,9,3155,228338.9
2013-01-23,79.5,73.1,77.4,76.8,13,3600,276398
2013-01-24,79,75.2,79,77.4,7,2505,197841.5
2013-01-28,79,75,76.9,79,10,2495,187730.5
2013-01-29,78.7,73,77.4,76.9,11,956,71183.8
2013-01-31,73,72,73,77.4,4,203,14670.8
2013-02-01,76.9,72.1,73.6,73,2,317,23335.7
2013-02-05,72.3,72.3,72.3,73.6,1,12,867.6
2013-02-07,78,73,73,72.3,4,410,31830
2013-02-11,79.9,72.3,74.8,73,19,2993,226710.2
2013-02-12,78.9,73.4,78,74.8,4,351,26288.9
2013-02-13,74.1,74,74.1,78,5,352,26062
2013-02-14,75,74.2,74.2,74.1,2,128,9552
2013-02-15,77,73.2,73.5,74.2,10,958,70391.6
2013-02-18,73.5,73.4,73.4,73.5,7,525,38565
2013-02-19,77.4,72,75.8,73.4,7,325,24118.6
2013-02-20,72.6,72.3,72.4,75.8,19,1669,120862.3
2013-02-21,72.4,72.4,72.4,72.4,6,500,36200
2013-02-22,72.3,72.2,72.2,72.4,4,785,56697
2013-02-26,72.3,72.2,72.2,72.2,8,1087,78565.5
2013-02-27,75,72,75,72.2,11,1564,115683
2013-02-28,72,70.1,70.1,75,5,700,49470
2013-03-01,72,70.1,70.1,70.1,4,380,26979.1
2013-03-04,72.6,70.5,70.5,70.1,8,1833,132312.5
2013-03-05,70.6,70.6,70.6,70.5,1,209,14755.4
2013-03-06,74.9,72,73,70.6,8,11700,859025.2
2013-03-07,74.8,71.1,74.8,73,6,1239,91361
2013-03-08,74.5,71.2,74,74.8,10,56817,4076185.2
2013-03-11,78,74.8,77,74,33,132703,10217836
2013-03-12,75,73,73.4,77,7,948,69344.2
2013-03-13,75.6,73.2,73.5,73.4,5,5814,426459.5
2013-03-14,75.5,75.5,75.5,73.5,6,8934,674517
2013-03-15,74,73.6,73.6,75.5,5,599,44090.4
2013-03-18,77,75.1,76.5,73.6,17,31544,2413303.5
2013-03-19,78,73.5,74.3,76.5,9,1179,89466.5
2013-03-21,80,73.5,76.6,74.3,15,3125,238640.5
2013-03-22,80,75,75,76.6,6,4275,320753
2013-03-27,77,75,77,75,6,2440,187049
2013-03-28,78,75,76.6,77,5,1698,129150
2013-04-01,79.9,78,78.6,76.6,12,4772,377904
2013-04-02,82,78,79.2,78.6,8,15257,1190621.5
2013-04-03,81,76,78.8,79.2,6,1162,91619.5
2013-04-04,81,77,77.7,78.8,3,570,44290
