date,high,low,close,open,traders,shares,turnover
2013-01-02,35,33,33.8,33.8,17,"7,271","244,565.00"
2013-01-03,33.1,33,33,33.8,6,700,"23,104.10"
2013-01-07,32.6,32.6,32.6,33,1,18,586.8
2013-01-08,32.5,32.5,32.5,32.6,1,1,32.5
2013-01-09,32.5,31.4,32.5,32.5,2,204,"6,625.60"
2013-01-16,33,33,33,32.5,3,600,"19,800.00"
2013-01-18,34.4,31.6,31.6,33,8,288,"9,129.60"
2013-01-21,32,31.5,32,31.6,2,102,"3,263.00"
2013-01-22,33.9,29,33.9,32,7,703,"21,271.60"
2013-01-24,33.8,32,32,33.9,2,101,"3,233.80"
2013-01-28,32.2,30.8,31.9,32,12,"3,220","102,720.00"
2013-01-29,31.2,31.2,31.2,31.9,2,"13,062","407,534.40"
2013-01-31,32.4,32.4,32.4,31.2,2,50,"1,620.00"
2013-02-01,32.4,31.8,32.2,32.4,3,101,"3,251.80"
2013-02-05,32.5,30.8,31,32.2,10,"1,150","35,864.00"
2013-02-06,31,30.9,31,31,2,20,619
2013-02-07,32.8,32.8,32.8,31,1,100,"3,280.00"
2013-02-08,31.4,31.4,31.4,32.8,1,50,"1,570.00"
2013-02-11,31.5,31.4,31.4,31.4,3,400,"12,575.00"
2013-02-12,32.8,31.4,32.8,31.4,5,163,"5,204.40"
2013-02-14,32,32,32,32.8,2,"1,197","38,304.00"
2013-02-15,32.5,32,32.5,32,5,"1,783","57,061.00"
2013-02-18,31.7,31.6,31.6,32.5,4,890,"28,132.00"
2013-02-19,32,31.5,31.6,31.6,5,"1,762","55,673.20"
2013-02-21,34,31.5,31.6,31.6,9,132,"4,222.00"
2013-02-22,33.2,33.2,33.2,31.6,2,2,66.4
2013-02-27,33.1,31.5,32.9,33.2,3,11,362.4
2013-03-01,33.2,33.2,33.2,32.9,1,1,33.2
2013-03-05,33.2,26.6,26.6,33.2,4,311,"9,665.20"
2013-03-06,30,27.1,30,26.6,10,"12,000","331,000.00"
2013-03-07,30,28.5,30,30,6,"3,789","112,786.50"
2013-03-08,29,29,29,30,1,"1,000","29,000.00"
2013-03-11,29.9,28.3,29.3,29,14,"2,393","70,166.40"
2013-03-12,28.6,28.6,28.6,29.3,1,28,800.8
2013-03-13,29.8,28.8,29.4,28.6,4,"1,102","32,442.60"
2013-03-14,29.8,29.8,29.8,29.4,1,38,"1,132.40"
2013-03-15,29.1,28.8,29,29.8,4,"2,500","72,201.50"
2013-03-18,31,30.5,30.5,29,4,"1,301","39,681.00"
