date,high,low,close,open,traders,shares,turnover
2013-01-02,120,118.5,119.7,119.7,14,"9,200","1,103,645.00"
2013-01-03,120,118.6,119.7,119.7,11,"3,767","452,018.60"
2013-01-04,120,118.5,120,119.7,14,"13,900","1,665,650.00"
2013-01-07,120,118.6,120,120,19,"370,038","44,043,620.00"
2013-01-08,121.9,119,121.2,120,8,575,"68,989.00"
2013-01-09,121.9,120,121.3,121.2,5,153,"18,565.20"
2013-01-10,123,120.1,120.6,121.3,32,"253,373","30,767,560.10"
2013-01-11,123.9,121,121.9,120.6,14,"114,340","13,836,806.90"
2013-01-15,121.5,120.5,120.5,121.9,6,546,"66,238.00"
2013-01-16,121.3,120,121,120.5,19,"11,659","1,410,760.00"
2013-01-17,122,120.6,122,121,32,"1,008,072","122,455,449.40"
2013-01-18,122.5,122,122.4,122,7,"130,400","15,908,950.00"
2013-01-21,123,122.1,122.2,122.4,10,"1,364","166,910.00"
2013-01-22,125,122,124.9,122.2,46,"49,724","6,168,428.40"
2013-01-23,128,125,125,124.9,11,"2,895","367,119.00"
2013-01-24,125.6,125.5,125.5,125,13,"302,300","37,938,700.00"
2013-01-28,126.5,123,124,125.5,15,"4,895","613,222.00"
2013-01-29,125,123,125,124,10,"10,901","1,353,779.00"
2013-01-30,124,123,123,125,5,"1,265","155,705.00"
2013-01-31,125,123,125,123,10,"3,406","425,748.00"
2013-02-01,124,123.5,124,125,11,"1,989","245,698.50"
2013-02-05,126,124,125,124,12,"417,991","52,248,795.00"
2013-02-06,125,124,124,125,28,295,"36,653.50"
2013-02-07,125,124,124.5,124,35,"850,833","105,592,268.50"
2013-02-08,127,124.6,126.7,124.5,24,"17,016","2,147,041.80"
2013-02-11,126.2,125.9,126,126.7,6,"7,760","978,008.00"
2013-02-12,126.5,126,126.4,126,26,"249,585","31,448,333.50"
2013-02-13,126,125.7,125.8,126.4,10,"7,348","925,697.00"
2013-02-14,126.1,125,126,125.8,13,"27,700","3,484,130.10"
2013-02-15,125,124.5,125,126,16,"20,572","2,571,450.00"
2013-02-18,125.4,124,124.2,125,13,"3,921","488,624.60"
2013-02-19,123.9,120,122,124.2,14,"4,337","524,896.30"
2013-02-20,123.9,120,120.3,122,12,"4,292","515,107.70"
2013-02-21,122,120.2,120.2,120.3,10,"1,975","237,936.10"
2013-02-22,120.5,120,120.1,120.2,16,"8,084","970,182.00"
2013-02-26,120.5,118,118,120.1,11,"8,151","977,865.50"
2013-02-27,119.9,117,118.5,118,7,"9,768","1,144,382.20"
2013-02-28,120.1,115.1,120.1,118.5,26,"6,472,460","770,569,105.00"
2013-03-01,120,120,120,120.1,15,"7,069","848,280.00"
2013-03-04,123,119,119,120,6,"1,155","137,855.00"
2013-03-05,120.3,119.9,120,119,23,"21,835","2,619,796.50"
2013-03-06,120.4,118,119.7,120,19,"12,507","1,500,192.80"
2013-03-07,120,119.9,120,119.7,10,"7,500","899,990.00"
2013-03-08,120.4,120,120,120,19,"22,964","2,756,130.00"
2013-03-11,120.1,120,120,120,9,"110,021","13,211,520.00"
2013-03-12,119.5,118,118.1,120,13,"1,042","123,197.30"
2013-03-13,118.5,118,118,118.1,14,"3,394","401,493.50"
2013-03-14,119,118,118.3,118,3,158,"18,694.00"
2013-03-15,118,117.5,117.6,118.3,5,33,"3,882.60"
2013-03-18,117,116.1,117,117.6,11,"5,466","639,372.60"
2013-03-19,117,115,115.1,117,14,"4,388","504,991.80"
2013-03-20,117.5,116,116,115.1,6,"8,397","985,654.00"
2013-03-21,119,118.9,119,116,5,"2,000","237,999.00"
2013-03-22,119,116.6,117.2,119,13,"8,434","992,149.90"
2013-03-25,118.5,117.5,118.5,117.2,6,"1,083","128,302.50"
2013-03-27,119.9,117.6,119,118.5,15,"443,670","52,796,785.90"
2013-03-28,120,118.2,119.6,119,29,"28,902","3,458,093.50"
2013-04-01,119.9,118.1,119.8,119.6,7,535,"63,582.50"
2013-04-02,120,118.5,119.9,119.8,32,"90,459","10,845,946.00"
2013-04-03,120.9,119.6,119.8,119.9,12,"5,149","616,701.00"
2013-04-04,119.8,119.7,119.8,119.8,7,"2,370","283,806.00"
