date,high,low,close,open,traders,shares,turnover
2013-01-02,40.5,38.2,39,39,7,"16,400","660,608.00"
2013-01-03,39.8,39.8,39.8,39,1,1,39.8
2013-01-04,40,39,39.4,39.8,69,"157,115","6,196,688.10"
2013-01-07,39,38,38.1,39.4,13,"10,928","418,002.00"
2013-01-08,40.5,38.1,38.1,38.1,28,"4,850","193,359.00"
2013-01-09,40,38.5,38.5,38.1,9,906,"35,730.80"
2013-01-10,39,37.2,37.9,38.5,11,"8,444","323,098.60"
2013-01-11,38.9,37.3,37.6,37.9,8,"22,717","880,498.70"
2013-01-15,37.7,37.5,37.7,37.6,5,"3,358","126,566.40"
2013-01-16,38.9,37.7,37.7,37.7,4,501,"18,888.90"
2013-01-17,40,38,38.8,37.7,25,"46,650","1,811,854.70"
2013-01-18,39,38,38,38.8,5,111,"4,227.00"
2013-01-21,38.9,36,37.6,38,5,279,"10,492.90"
2013-01-24,39.8,36.6,38.7,37.6,11,"3,171","123,629.40"
2013-01-28,37.5,37.5,37.5,38.7,5,580,"21,750.00"
2013-01-29,38,37.2,37.2,37.5,2,"1,301","48,398.00"
2013-01-30,39.3,36.6,37.1,37.2,15,"11,774","458,521.90"
2013-01-31,37.5,36.6,36.9,37.1,13,"10,269","378,483.00"
2013-02-05,37,35,36.4,36.9,13,"3,911","142,607.30"
2013-02-06,36.9,35.2,36.9,36.4,7,890,"31,329.70"
2013-02-07,37,37,37,36.9,2,"1,120","41,440.00"
2013-02-08,37,36,37,37,3,36,"1,306.00"
2013-02-11,39.5,36.5,38.4,37,37,"56,147","2,146,630.50"
2013-02-12,39,38,38.8,38.4,5,405,"15,645.00"
2013-02-13,39,37.5,38.5,38.8,32,"11,900","459,395.50"
2013-02-14,39,37.1,38.3,38.5,12,"2,000","75,630.40"
2013-02-15,38.8,37.2,37.3,38.3,9,"2,293","85,537.00"
2013-02-18,39.5,36.6,37,37.3,32,"28,560","1,063,760.20"
2013-02-19,37.1,36.1,36.5,37,14,"12,066","440,511.40"
2013-02-20,37,36,36,36.5,4,"17,399","626,385.00"
2013-02-21,38.5,36.1,37.5,36,11,"1,833","66,720.90"
2013-02-22,38,36.1,36.1,37.5,9,"5,792","218,438.80"
2013-02-26,37,36,36.5,36.1,12,"5,822","210,097.70"
2013-02-27,37.7,35,36.3,36.5,16,"34,168","1,202,763.50"
2013-02-28,36.7,36.4,36.4,36.3,6,"8,001","291,236.70"
2013-03-01,36,36,36,36.4,2,"2,800","100,800.00"
2013-03-04,36,34.5,35.9,36,7,401,"14,244.40"
2013-03-05,36,34.5,36,35.9,4,400,"14,110.00"
2013-03-06,35.4,34.5,35.2,36,20,"13,141","454,086.00"
2013-03-07,35.5,34,34.2,35.2,8,"2,500","85,443.00"
2013-03-08,34.1,33.5,33.5,34.2,11,"39,166","1,317,224.00"
2013-03-11,35,33,34.2,33.5,16,"11,910","393,647.20"
2013-03-12,34.7,33,34.6,34.2,7,500,"16,979.50"
2013-03-13,34.9,33,34.6,34.6,20,"2,670","91,146.90"
2013-03-14,34.6,33.2,34,34.6,12,"9,307","316,349.40"
2013-03-15,34,33.1,33.9,34,6,"1,895","64,190.00"
2013-03-18,34.4,34,34,33.9,2,"14,405","489,772.00"
2013-03-19,34,34,34,34,1,100,"3,400.00"
2013-03-20,34,34,34,34,4,287,"9,758.00"
2013-03-21,34,33.9,33.9,34,5,655,"22,255.00"
2013-03-22,34,32.5,33,33.9,19,"19,565","647,427.40"
2013-03-25,34.7,33,33,33,9,"11,001","363,545.00"
2013-03-27,34,33.2,33.2,33,5,"2,710","91,930.00"
2013-03-28,34.5,33,33.6,33.2,20,"7,691","258,231.50"
2013-04-01,35.4,33.5,34.1,33.6,6,422,"14,376.50"
2013-04-02,35.3,33.3,34.6,34.1,8,"2,129","70,938.00"
2013-04-03,34,33.3,33.4,34.6,5,"1,311","43,714.00"
2013-04-04,35.1,35,35.1,33.4,2,100,"3,509.90"
2013-04-05,35.5,33.3,35,35.1,19,"8,585","299,744.40"
2013-04-08,36.5,35.3,35.7,35,14,"9,000","321,182.00"
2013-04-09,36,35.5,36,35.7,18,"40,045","1,440,397.70"
2013-04-10,35.5,35.5,35.5,36,5,"5,100","181,050.00"
2013-04-11,35.1,34,34.6,35.5,17,"23,682","807,072.10"
2013-04-12,35.4,35.3,35.4,34.6,3,100,"3,539.20"
2013-04-16,35.5,34,35,35.4,32,"19,947","685,043.10"
2013-04-18,34.2,34,34,35,11,"2,499","84,971.30"
2013-04-19,35,33.8,35,34,3,6,207.6
2013-04-22,35,33.6,35,35,16,"19,670","686,076.40"
2013-04-23,34.1,34,34,35,5,"4,000","136,100.00"
2013-04-24,36,34,34.4,34,14,"22,130","773,960.40"
2013-04-26,35,33.7,34.5,34.4,13,"11,040","380,812.80"
2013-04-29,35,33.5,33.5,34.5,27,"21,492","723,152.80"
2013-04-30,34.5,33,33.1,33.5,25,"82,141","2,719,028.50"
2013-05-02,33.1,33,33,33.1,16,"9,155","302,305.00"
2013-05-03,33.7,32.7,33.6,33,19,"13,600","452,840.00"
2013-05-06,34,33.8,34,33.6,12,"22,942","780,027.60"
2013-05-07,34.5,34,34.2,34,14,"1,649","56,360.00"
2013-05-08,34.4,34,34,34.2,8,"15,366","522,444.80"
2013-05-09,35,33.8,34,34,13,"6,100","207,998.60"
2013-05-10,34.8,33.9,34.1,34,7,"1,349","46,212.20"
2013-05-13,35,33.7,34.7,34.1,36,"13,193","454,874.00"
2013-05-14,34.9,34.2,34.2,34.7,11,"9,503","331,104.70"
2013-05-15,34.5,34,34.1,34.2,7,"2,550","87,485.00"
2013-05-16,34.9,33.9,34.9,34.1,7,"5,201","181,294.30"
2013-05-17,34.8,33.5,33.7,34.9,15,"15,553","526,467.80"
2013-05-20,34,33.1,33.2,33.7,25,"14,405","481,156.00"
2013-05-21,33.8,33,33.1,33.2,31,"10,083","334,580.30"
2013-05-22,33.8,31.5,33.5,33.1,9,"95,805","3,020,949.50"
2013-05-23,33.9,33.7,33.8,33.5,10,"3,040","102,755.90"
2013-05-27,33,32.2,32.3,33.8,22,"10,571","344,043.00"
2013-05-28,32.5,31.9,32,32.3,26,"5,147","164,714.00"
2013-05-29,33,32,32,32,12,"15,056","482,292.00"
2013-05-30,33,31.8,32.9,32,10,"1,604","51,261.70"
2013-05-31,34,31.8,31.8,32.9,13,"15,250","507,910.00"
2013-06-03,33.3,31.9,33.3,31.8,52,"31,999","1,038,016.30"
2013-06-04,32.9,32.7,32.8,33.3,11,"1,027","33,685.60"
2013-06-05,32.6,32,32,32.8,36,"8,362","267,960.30"
2013-06-06,31.9,31.7,31.9,32,13,"3,470","110,507.80"
2013-06-07,31.9,31.5,31.9,31.9,11,425,"13,517.50"
2013-06-10,32,31.5,31.6,31.9,24,"1,657","52,454.90"
2013-06-11,31.9,31.5,31.5,31.6,14,"1,358","42,805.80"
2013-06-12,31.8,31.4,31.4,31.5,2,"1,001","31,431.80"
2013-06-13,31.5,31.5,31.5,31.4,9,"1,403","44,194.50"
2013-06-14,31.5,30.6,30.6,31.5,22,"14,943","459,597.00"
2013-06-17,31.5,30.7,31.4,30.6,6,113,"3,479.10"
2013-06-18,31.2,30.5,30.6,31.4,21,"4,059","124,413.90"
2013-06-19,30.9,30,30.1,30.6,14,"1,915","57,775.30"
2013-06-20,31,30,30.9,30.1,13,"1,725","53,203.00"
2013-06-21,30.8,28.2,29.1,30.9,36,"17,225","502,906.20"
2013-06-24,29,28.6,28.7,29.1,6,"1,411","40,459.00"
2013-06-25,29.1,28.5,28.6,28.7,8,"2,479","71,069.50"
2013-06-26,29,28,28.5,28.6,14,"2,088","59,252.50"
2013-06-27,28.8,28,28.5,28.5,7,"1,649","47,061.00"
2013-06-28,29,28,28.9,28.5,6,"3,059","88,322.00"
2013-07-01,29,28,28,28.9,8,212,"5,992.10"
2013-07-02,27.6,27.4,27.5,28,10,"2,612","71,798.50"
2013-07-03,27.4,27,27.3,27.5,13,"4,174","113,760.60"
2013-07-04,27,27,27,27.3,3,102,"2,754.00"
2013-07-05,27,26.9,26.9,27,3,104,"2,799.00"
2013-07-08,27,26.5,26.9,26.9,11,"1,551","41,237.40"
2013-07-09,27,26.2,26.2,26.9,23,"6,069","162,813.30"
2013-07-10,27,26.1,27,26.2,5,"1,708","44,651.00"
2013-07-11,26.9,26.9,26.9,27,4,200,"5,380.00"
2013-07-15,26.6,26.6,26.6,26.9,1,250,"6,650.00"
2013-07-16,26,25.6,25.7,26.6,3,900,"23,120.00"
2013-07-17,25.1,25.1,25.1,25.7,3,"4,100","102,910.00"
2013-07-19,26,25.3,26,25.1,10,"2,028","51,746.50"
2013-07-23,26.1,25,26.1,26,12,"8,670","217,224.80"
2013-07-24,26.2,25.2,25.3,26.1,9,"3,675","93,693.10"
2013-07-25,25.2,25.1,25.1,25.3,3,"3,454","86,790.50"
2013-07-26,25.5,25.1,25.4,25.1,3,"6,102","155,160.20"
2013-07-29,25.2,25.2,25.2,25.4,3,"5,200","131,040.00"
2013-07-30,26.1,25.3,25.5,25.2,10,"2,548","64,968.60"
2013-07-31,27.5,26.2,26.9,25.5,8,"2,405","64,776.50"
2013-08-01,26.8,26.5,26.6,26.9,4,600,"15,930.00"
2013-08-02,26,25.4,25.5,26.6,3,160,"4,104.00"
2013-08-05,25.3,25.2,25.3,25.5,2,101,"2,555.20"
2013-08-06,26.6,25.5,25.9,25.3,5,"2,930","75,848.00"
2013-08-07,26.6,25.6,25.6,25.9,4,106,"2,727.60"
2013-08-08,26.1,25.6,26.1,25.6,4,511,"13,331.60"
2013-08-12,26.4,26.4,26.4,26.1,1,50,"1,320.00"
2013-08-13,26.7,25.7,25.7,26.4,9,"5,705","146,638.50"
2013-08-14,30,26.5,27,25.7,37,"25,432","687,229.50"
2013-08-15,28.4,25.5,27.1,27,15,"2,042","54,334.00"
2013-08-16,30,26.8,28.3,27.1,35,"6,930","195,581.40"
2013-08-19,29.9,29.3,29.8,28.3,18,"80,100","2,384,289.20"
2013-08-21,28,28,28,29.8,1,100,"2,800.00"
2013-08-22,29.6,28,28.2,28,6,"10,930","306,244.00"
2013-08-27,27.7,26.2,26.2,28.2,6,131,"3,456.20"
