date,high,low,close,open,trades,shares,turnover,
2013-01-02,19,17.7,18.8,18.8,18,"7,010","131,577.10",
2013-01-03,19.1,18.9,19,18.8,7,"2,505","47,575.10",
2013-01-04,19,19,19,19,7,"3,192","60,648.00",
2013-01-07,19.2,18,18,19,8,"2,281","42,315.00",
2013-01-08,19.6,19,19,18,3,3,57.6,
2013-01-09,19.3,18,18.1,19,6,"2,139","38,802.10",
2013-01-10,18.7,18.7,18.7,18.1,2,2,37.4,
2013-01-11,19,18,18,18.7,8,"3,010","54,234.80",
2013-01-15,18.9,18,18,18,10,"3,031","54,560.30",
2013-01-16,19,18,19,18,14,"1,937","35,091.20",
2013-01-17,19.7,18.5,19,19,11,"2,122","39,780.70",
2013-01-18,19.2,18.5,18.5,19,3,"2,000","37,000.70",
2013-01-21,19.2,17.2,17.2,18.5,13,"7,252","125,067.80",
2013-01-22,19,17.5,18.7,17.2,20,"6,399","120,733.50",
2013-01-23,19,18.5,19,18.7,15,"2,712","51,433.90",
2013-01-24,19.4,19,19.1,19,13,"3,943","75,455.90",
2013-01-28,19.2,17.5,18,19.1,15,"2,190","39,386.40",
2013-01-29,19.1,19.1,19.1,18,1,1,19.1,
2013-01-30,19,17.9,17.9,19.1,4,"2,602","46,577.50",
2013-01-31,18.9,18,18.5,17.9,8,"1,701","31,409.00",
2013-02-01,18.4,17.9,17.9,18.5,4,"13,001","232,818.40",
2013-02-05,18.9,17.9,18.6,17.9,12,811,"14,727.70",
2013-02-06,18.4,17.9,17.9,18.6,11,"18,178","325,513.90",
2013-02-07,18.3,17.5,18,17.9,19,"3,124","55,375.40",
2013-02-08,18.2,18.2,18.2,18,1,1,18.2,
2013-02-11,18,18,18,18.2,3,"3,263","58,734.00",
2013-02-12,18.2,18,18.1,18,10,"2,401","43,618.20",
2013-02-13,19.4,17.7,19.3,18.1,7,"15,050","290,207.30",
2013-02-14,19,18,18.5,19.3,11,"11,433","210,245.40",
2013-02-15,19.1,18.5,18.6,18.5,15,"18,586","343,932.90",
2013-02-18,19,18,18.2,18.6,13,"12,602","232,051.50",
2013-02-19,18.2,17.6,17.9,18.2,12,"10,358","186,482.20",
2013-02-20,18.7,17.6,18.5,17.9,18,"8,093","146,308.80",
2013-02-21,18.9,18.7,18.9,18.5,7,"2,021","38,192.90",
2013-02-22,18.1,17.6,17.8,18.9,17,"5,600","99,591.60",
2013-02-26,18,17,17,17.8,18,"9,624","165,314.40",
2013-02-27,17.2,16.8,17.1,17,9,"3,400","58,240.00",
