date,high,low,close,open,trades,shares,turnover,
2013-01-02,38.6,38.6,38.6,38.6,1,156,"6,021.60",
2013-01-03,38.6,38.6,38.6,38.6,1,193,"7,449.80",
2013-01-04,38.6,38.6,38.6,38.6,1,5,193,
2013-01-07,40,38.6,40,38.6,2,191,"7,634.40",
2013-01-08,40,39,40,40,2,"1,028","41,092.00",
2013-01-09,39,39,39,40,3,91,"3,549.00",
2013-01-11,38.9,38.5,38.5,39,2,300,"11,554.00",
2013-01-15,38.5,38.5,38.5,38.5,1,100,"3,850.00",
2013-01-16,38,38,38,38.5,2,294,"11,172.00",
2013-01-21,40,40,40,38,4,365,"14,600.00",
2013-01-28,39.1,39.1,39.1,40,4,154,"6,021.40",
2013-01-30,41.2,40.8,41.1,39.1,4,15,616,
2013-01-31,41.5,40,41.3,41.1,8,"5,527","228,451.40",
2013-02-05,41.3,41.3,41.3,41.3,1,1,41.3,
2013-02-06,39.1,38.2,38.2,41.3,4,217,"8,394.70",
2013-02-07,38,38,38,38.2,1,4,152,
2013-02-08,39,39,39,38,1,40,"1,560.00",
2013-02-11,38.2,38.1,38.1,39,2,100,"3,810.70",
2013-02-12,38.1,38.1,38.1,38.1,4,202,"7,696.20",
2013-02-14,39.3,39.3,39.3,38.1,1,65,"2,554.50",
2013-02-15,39.3,36,36.2,39.3,9,310,"11,329.20",
2013-02-18,36,36,36,36.2,1,100,"3,600.00",
2013-02-21,39,38.5,38.5,36,4,20,772.5,
2013-02-22,39,39,39,38.5,1,2,78,
2013-02-27,38.8,38.8,38.8,39,2,100,"3,880.00",
2013-02-28,34.1,34,34,38.8,4,144,"4,899.00",
2013-03-01,34.6,34.6,34.6,34,4,201,"6,954.60",
2013-03-04,35,34.2,34.3,34.6,5,228,"7,829.20",
2013-03-05,36,34.3,36,34.3,3,101,"3,466.00",
2013-03-06,38.4,34.3,35.6,36,10,"2,010","71,611.00",
2013-03-11,33.6,33.1,33.5,35.6,5,100,"3,345.00",
2013-03-18,33.7,33.7,33.7,33.5,4,202,"6,807.40",
2013-03-20,35.6,33.7,35,33.7,6,298,"10,176.50",
2013-03-21,41,36.6,37.8,35,11,475,"17,978.10",
2013-03-22,32.4,32.3,32.3,37.8,3,100,"3,230.10",
2013-03-27,39.9,32.3,39.2,32.3,8,227,"8,213.80",
2013-04-01,38,38,38,39.2,1,2,76,
2013-04-02,38,38,38,38,1,30,"1,140.00",
2013-04-03,38,38,38,38,3,300,"11,400.00",
2013-04-08,35,35,35,38,5,300,"10,500.00",
2013-04-09,36,35.5,35.5,35,5,991,"35,276.00",
2013-04-10,37.8,37.8,37.8,35.5,1,1,37.8,
2013-04-11,38.5,38.4,38.4,37.8,3,27,"1,039.30",
2013-04-12,38.4,38.4,38.4,38.4,1,7,268.8,
2013-04-17,38,33.1,33.4,38.4,6,107,"3,575.70",
2013-04-18,37.8,37,37,33.4,2,61,"2,257.80",
2013-04-22,34.1,33.7,33.7,37,5,148,"4,994.00",
2013-04-23,33.9,33.9,33.9,33.7,1,134,"4,542.60",
2013-04-26,36.8,36,36,33.9,2,135,"4,967.20",
2013-04-29,37,36,37,36,6,173,"6,329.20",
2013-05-03,36.1,35.4,35.8,37,6,783,"28,052.00",
2013-05-06,37,33.9,34.1,35.8,9,119,"4,072.40",
2013-05-07,37,35,35,34.1,2,102,"3,574.00",
2013-05-08,34,33,33.2,35,12,618,"20,462.70",
2013-05-10,33.3,33.2,33.2,33.2,2,100,"3,321.00",
2013-05-13,34.1,34.1,34.1,33.2,1,1,34.1,
2013-05-14,34.2,33.1,33.2,34.1,12,404,"13,501.90",
2013-05-15,34,34,34,33.2,1,100,"3,400.00",
2013-05-16,36,35,35.4,34,6,583,"20,667.80",
2013-05-17,38,37,37,35.4,6,323,"12,205.40",
2013-05-20,38.9,33.7,38.5,37,5,113,"4,329.30",
2013-05-22,34.4,34.4,34.4,38.5,1,199,"6,845.60",
2013-05-27,34.8,34.5,34.5,34.4,9,493,"17,103.90",
2013-05-28,38.4,38.4,38.4,34.5,1,2,76.8,
2013-05-29,37,37,37,38.4,3,314,"11,618.00",
2013-05-30,37.5,37,37,37,3,16,594,
2013-06-03,36.9,36.5,36.7,37,22,"1,318","48,370.00",
2013-06-04,36.9,33.1,35.2,36.7,6,103,"3,597.30",
2013-06-05,36.6,36.5,36.5,35.2,5,103,"3,759.80",
2013-06-06,36.6,36.3,36.5,36.5,9,86,"3,143.10",
2013-06-07,36.6,36.6,36.6,36.5,6,70,"2,562.00",
2013-06-10,36.9,36,36.1,36.6,26,299,"10,866.00",
2013-06-11,36,35.1,35.1,36.1,3,102,"3,581.90",
2013-06-12,35.9,34.9,34.9,35.1,4,202,"7,055.90",
2013-06-14,36.3,33.4,33.5,34.9,8,221,"7,398.30",
2013-06-17,36.2,33.3,36.1,33.5,12,581,"20,849.10",
2013-06-18,36,36,36,36.1,11,132,"4,752.00",
2013-06-19,36,34.4,35,36,13,766,"26,595.90",
2013-06-20,36,34.1,35.9,35,9,30,"1,078.00",
2013-06-21,36,36,36,35.9,3,4,144,
2013-06-24,36,34.1,34.1,36,13,184,"6,434.00",
2013-06-25,36,34.8,35.5,34.1,5,54,"1,882.50",
2013-06-26,35.5,35.5,35.5,35.5,3,560,"19,880.00",
2013-06-27,35.5,35.5,35.5,35.5,5,157,"5,573.50",
2013-06-28,34.1,34.1,34.1,35.5,1,10,341,
2013-07-01,34.5,34.1,34.4,34.1,10,235,"8,099.50",
2013-07-02,32,31,31.5,34.4,2,10,315,
2013-07-03,34.4,31.3,31.3,31.5,3,485,"15,188.60",
2013-07-04,31.5,31.3,31.4,31.3,8,481,"15,062.30",
2013-07-05,31.4,31.3,31.3,31.4,4,299,"9,368.70",
2013-07-09,31,31,31,31.3,2,51,"1,581.00",
2013-07-10,30.7,30.5,30.6,31,6,82,"2,512.10",
2013-07-12,29,29,29,30.6,1,50,"1,450.00",
2013-07-18,29.9,29.9,29.9,29,1,10,299,
2013-07-19,31.9,28.8,28.8,29.9,5,605,"18,039.50",
2013-07-24,28.9,28.9,28.9,28.8,1,100,"2,890.00",
2013-07-25,31.9,31.9,31.9,28.9,1,30,957,
2013-07-26,29.2,29.2,29.2,31.9,2,152,"4,438.40",
2013-07-29,31.5,31.5,31.5,29.2,1,5,157.5,
2013-07-30,31.5,29,29.1,31.5,8,301,"8,754.30",
2013-07-31,27.9,27.9,27.9,29.1,3,100,"2,790.00",
2013-08-01,27,27,27,27.9,1,100,"2,700.00",
2013-08-02,27,27,27,27,3,113,"3,051.00",
2013-08-05,27,27,27,27,2,144,"3,888.00",
2013-08-06,26.7,26.7,26.7,27,2,20,534,
2013-08-07,26.8,26.7,26.8,26.7,5,102,"2,723.60",
2013-08-12,27.5,26.8,26.9,26.8,5,227,"6,114.30",
2013-08-16,27.1,27.1,27.1,26.9,2,100,"2,710.00",
2013-08-19,27.1,27.1,27.1,27.1,3,101,"2,737.10",
2013-08-22,26.8,26.3,26.3,27.1,3,140,"3,732.00",
2013-08-23,26.4,26.4,26.4,26.3,4,106,"2,798.40",
2013-08-26,26.3,26.3,26.3,26.4,2,7,184.1,
2013-08-27,26.3,26.3,26.3,26.3,1,1,26.3,
2013-08-28,26.3,26.3,26.3,26.3,1,6,157.8,
2013-08-29,26.4,26.3,26.3,26.3,2,89,"2,340.80",
2013-08-30,32.8,27.1,29,26.3,5,5,141.3,
2013-09-02,30,27.1,27.1,29,4,195,"5,289.10",
2013-09-03,27.1,27.1,27.1,27.1,1,1,27.1,
2013-09-05,28,28,28,27.1,1,10,280,
2013-09-06,28,28,28,28,4,"1,500","42,000.00",
2013-09-10,27,27,27,28,1,10,270,
2013-09-11,26.4,26.4,26.4,27,3,314,"8,289.60",
2013-09-12,29,29,29,26.4,1,1,29,
2013-09-16,27.6,27.6,27.6,29,1,1,27.6,
2013-09-17,27.5,27.5,27.5,27.6,1,10,275,
2013-09-18,27.5,26.5,26.9,27.5,4,91,"2,449.50",
2013-09-23,31,26.6,31,26.9,5,347,"9,293.40",
2013-09-25,27,27,27,31,1,100,"2,700.00",
2013-09-26,27.1,27,27,27,5,314,"8,488.00",
2013-10-01,27,27,27,27,1,1,27,
2013-10-02,28,28,28,27,1,1,28,
2013-10-03,28.5,28.5,28.5,28,1,100,"2,850.00",
2013-10-04,30,28,29.9,28.5,5,"1,016","28,975.50",
2013-10-07,32,32,32,29.9,1,186,"5,952.00",
2013-10-08,28.9,28.1,28.9,32,4,201,"5,778.10",
2013-10-09,30,30,30,28.9,2,200,"6,000.00",
2013-10-10,28.7,28.2,28.7,30,3,102,"2,926.40",
2013-10-14,30,29,30,28.7,18,"40,026","1,170,754.00",
