date,high,low,close,open,trades,shares,turnover
2013-01-02,28,24.1,27.1,27.1,13,"10,006","270,740.10"
2013-01-03,27.1,26.9,26.9,27.1,5,345,"9,295.10"
2013-01-04,26.9,25.5,26,26.9,4,"1,047","26,926.50"
2013-01-07,27,25,25.5,26,7,"8,330","208,803.60"
2013-01-08,25.4,25,25,25.5,2,9,225.4
2013-01-09,25.4,25,25.1,25,5,"3,199","80,025.40"
2013-01-10,27,27,27,25.1,1,1,27
2013-01-11,26.4,25,26.3,27,10,"2,103","55,181.70"
2013-01-15,26.4,25.1,25.1,26.3,2,"7,851","197,061.40"
2013-01-16,26.4,25,25.1,25.1,11,"1,908","48,444.00"
2013-01-17,26.6,25.2,25.6,25.1,7,"2,151","55,526.60"
2013-01-18,26.6,26.6,26.6,25.6,1,1,26.6
2013-01-21,26.6,25.5,26.4,26.6,7,115,"3,033.70"
2013-01-22,26.5,26.5,26.5,26.4,1,1,26.5
2013-01-23,26.2,25.5,25.5,26.5,3,102,"2,602.40"
2013-01-24,26.3,26.3,26.3,25.5,1,390,"10,257.00"
2013-01-28,26.3,25.5,25.5,26.3,2,"1,001","25,526.30"
2013-01-29,25.6,25,25,25.5,5,"2,900","73,600.00"
2013-01-30,25.4,25.4,25.4,25,2,11,279.4
2013-01-31,25,24,24.3,25.4,2,4,97
2013-02-01,25,24.9,25,24.3,4,"2,100","52,480.00"
2013-02-05,26.7,25,25.9,25,48,"48,489","1,257,862.60"
2013-02-06,26.6,25.4,25.5,25.9,10,"11,552","296,077.30"
2013-02-07,26.4,25,25.3,25.5,9,"3,036","77,126.80"
2013-02-08,26.3,25.1,25.2,25.3,14,"5,020","126,703.20"
2013-02-11,26.3,25.5,25.5,25.2,8,"7,697","196,334.20"
2013-02-12,27.4,25.5,27,25.5,74,"97,004","2,586,028.60"
2013-02-13,27.7,27,27.5,27,28,"24,452","675,285.40"
2013-02-14,27.6,26.5,26.5,27.5,6,"1,333","35,360.70"
2013-02-15,27.6,26.6,26.6,26.5,9,"1,709","45,908.40"
2013-02-18,27.3,26.5,26.5,26.6,3,"3,760","99,643.80"
2013-02-19,27,26.3,26.5,26.5,9,"9,205","242,479.30"
2013-02-20,27,26.5,26.6,26.5,11,"6,580","174,654.60"
2013-02-21,26.9,26.5,26.6,26.6,11,"8,502","225,331.00"
2013-02-22,26.6,26.3,26.3,26.6,12,234,"6,164.90"
2013-02-26,26.9,26.1,26.1,26.3,27,"12,186","319,320.80"
2013-02-27,27,26.1,26.5,26.1,16,"32,187","847,356.00"
2013-02-28,26.8,26.2,26.5,26.5,10,"12,871","339,633.00"
2013-03-01,27,26.2,27,26.5,14,"10,380","279,033.70"
2013-03-04,27,26.2,26.2,27,3,"4,301","112,687.00"
2013-03-05,27,26.2,27,26.2,7,"6,255","163,881.80"
2013-03-06,26.6,26,26.5,27,24,"37,427","985,334.70"
2013-03-07,27,26.5,26.5,26.5,4,"1,301","34,477.00"
2013-03-08,26.9,26.5,26.8,26.5,3,"3,101","83,076.90"
2013-03-11,27,26.2,26.2,26.8,10,"2,003","53,329.10"
2013-03-12,27,26.2,26.2,26.2,6,"1,601","41,947.60"
2013-03-13,26.9,26.2,26.2,26.2,4,601,"15,816.90"
2013-03-14,27,26.2,26.4,26.2,6,"1,401","37,035.00"
2013-03-15,27,26.2,26.2,26.4,8,"2,504","65,785.90"
2013-03-18,26.5,26.2,26.2,26.2,8,"20,899","547,554.10"
2013-03-19,26.5,26.2,26.2,26.2,13,"11,237","295,570.50"
2013-03-20,26.5,26.2,26.3,26.2,23,"58,101","1,528,369.70"
2013-03-21,27,26,26.9,26.3,9,"11,770","311,285.10"
2013-03-22,26.5,26,26.1,26.9,7,"3,100","80,656.00"
2013-03-25,26.6,26,26,26.1,7,"6,352","165,212.60"
2013-03-27,25.7,25.6,25.6,26,4,"1,400","35,845.00"
2013-03-28,26.5,26,26.5,25.6,30,"60,668","1,603,997.50"
2013-04-01,27.3,26.5,26.5,26.5,9,"10,834","290,162.00"
2013-04-02,26.9,26.5,26.5,26.5,10,"2,162","57,297.60"
2013-04-03,26.9,26.5,26.9,26.5,9,"13,302","352,508.20"
2013-04-04,26.9,26.6,26.6,26.9,4,"20,002","532,053.80"
2013-04-05,26.9,26.5,26.5,26.6,17,"15,153","401,596.10"
2013-04-08,26.8,26.5,26.5,26.5,8,"6,662","176,663.30"
2013-04-09,26.9,26.6,26.6,26.5,11,"7,002","186,653.70"
2013-04-10,26.6,26,26.1,26.6,21,"18,548","487,240.20"
2013-04-11,26.7,26.7,26.7,26.1,3,103,"2,750.10"
2013-04-16,26.2,26.1,26.2,26.7,9,"13,451","352,411.20"
2013-04-17,26.5,26,26.2,26.2,13,"23,750","623,132.60"
2013-04-18,27.2,26.1,26.5,26.2,13,"6,414","171,038.60"
2013-04-19,27,26,26.5,26.5,34,"64,737","1,706,629.40"
2013-04-22,26.8,25.5,26.5,26.5,11,"7,301","190,836.80"
2013-04-23,26.5,25.9,25.9,26.5,11,"23,801","624,546.50"
2013-04-24,26.7,25.8,26.5,25.9,46,"73,365","1,929,831.20"
2013-04-26,26.8,25.9,26,26.5,49,"101,631","2,651,545.80"
2013-04-29,26.5,25.7,25.8,26,22,"16,080","416,935.40"
2013-04-30,26,25.8,26,25.8,3,"2,125","54,830.00"
2013-05-02,26.5,26.5,26.5,26,1,1,26.5
2013-05-03,26.4,25.7,26,26.5,18,"11,237","292,057.20"
2013-05-06,29.8,26.3,28.3,26,169,"109,071","3,020,134.90"
2013-05-07,28.5,27.5,28.5,28.3,38,"56,504","1,608,432.40"
2013-05-08,28.8,27,27.5,28.5,18,"62,274","1,720,329.20"
2013-05-09,29.5,28,28.2,27.5,62,"125,201","3,577,336.90"
2013-05-10,29.4,28,28.4,28.2,27,"20,041","574,638.90"
2013-05-13,28.5,28,28,28.4,3,"8,000","226,000.00"
2013-05-14,28.4,27.3,27.6,28,20,"26,177","729,479.10"
2013-05-15,28.5,27.9,28.5,27.6,8,"10,400","296,295.00"
2013-05-16,28.5,27.7,28.2,28.5,28,"35,576","1,001,451.00"
2013-05-17,29.3,28.2,28.7,28.2,51,"54,669","1,574,173.10"
2013-05-20,29.4,28,28.9,28.7,49,"113,409","3,268,663.60"
2013-05-21,29,28.9,28.9,28.9,5,563,"16,297.00"
2013-05-22,29.5,28,28.3,28.9,24,"11,930","338,997.70"
2013-05-23,29,28.1,28.4,28.3,16,"22,859","653,217.20"
2013-05-27,28.8,27.6,27.9,28.4,21,"13,011","365,198.80"
2013-05-28,28.5,27.6,27.7,27.9,11,"12,523","347,124.70"
2013-05-29,28.2,27.6,27.6,27.7,14,"5,307","146,822.20"
2013-05-30,28.4,28,28.1,27.6,56,"44,545","1,253,721.00"
2013-05-31,28.5,28,28.2,28.1,37,"20,172","567,839.80"
2013-06-03,29.8,28.4,29,28.2,216,"130,700","3,802,919.40"
2013-06-04,29.9,28.8,28.9,29,33,"26,566","770,168.60"
2013-06-05,29.9,29,29.4,28.9,103,"61,604","1,828,262.30"
2013-06-06,29.8,28.8,29,29.4,50,"18,858","548,098.30"
2013-06-07,30.9,29.9,30.1,29,228,"103,348","3,137,673.30"
2013-06-10,30.7,29.7,29.9,30.1,61,"19,328","579,534.90"
2013-06-11,30.4,29.5,29.6,29.9,35,"19,912","589,590.40"
2013-06-12,30.3,29.6,29.8,29.6,33,"13,281","394,751.80"
2013-06-13,29.9,29.2,29.3,29.8,43,"15,523","457,277.80"
2013-06-14,29.6,29.4,29.5,29.3,79,"21,214","626,122.90"
2013-06-17,28.5,27,27.1,29.5,40,"24,595","670,226.40"
2013-06-18,27.1,26.5,26.7,27.1,15,"19,974","536,419.20"
2013-06-19,27,26.1,26.8,26.7,19,"4,395","117,513.90"
2013-06-20,26.9,26.5,26.8,26.8,11,"2,610","69,198.90"
2013-06-21,26.4,26,26,26.8,14,"7,964","207,729.70"
2013-06-24,26.4,26.4,26.4,26,2,11,290.4
2013-06-25,26.4,25.6,25.6,26.4,5,"1,008","25,808.40"
2013-06-26,26,26,26,25.6,1,1,26
2013-06-27,26,25.3,25.4,26,11,"9,222","234,341.50"
2013-06-28,26,25.8,25.8,25.4,3,74,"1,910.00"
2013-07-01,26,25,25,25.8,21,"28,367","711,287.80"
2013-07-02,25.8,25.7,25.7,25,5,105,"2,699.00"
2013-07-03,25,24.5,25,25.7,11,"10,346","258,499.90"
2013-07-04,26,24.5,24.6,25,20,"34,914","884,433.00"
2013-07-05,27,25,25.1,24.6,21,"262,300","7,068,813.10"
2013-07-08,24.8,24.5,24.5,25.1,5,"10,500","257,267.50"
2013-07-09,25.5,24,24,24.5,40,"43,978","1,057,303.50"
2013-07-10,24.8,24,24.8,24,6,"5,026","120,644.80"
2013-07-11,24.8,24,24,24.8,7,"5,100","122,576.00"
2013-07-12,24,24,24,24,4,440,"10,560.00"
2013-07-15,24.8,23.5,24,24,11,"9,851","231,919.80"
2013-07-16,24.5,23.5,24,24,6,827,"20,005.50"
2013-07-17,24.5,23.5,23.7,24,15,"7,708","181,197.00"
2013-07-19,24.8,24,24.7,23.7,23,"5,912","143,414.90"
2013-07-23,24.7,24,24,24.7,5,"2,701","64,824.70"
2013-07-24,24.6,23.5,24.5,24,9,"5,611","135,689.60"
2013-07-25,23.6,23.1,23.4,24.5,7,"2,400","56,570.00"
2013-07-26,24.5,23.5,23.6,23.4,10,"16,131","380,104.50"
2013-07-29,24,23.1,24,23.6,6,"1,106","25,564.00"
2013-07-30,24.4,24,24,24,13,"9,692","232,687.20"
2013-07-31,24,23.5,23.5,24,9,"3,500","82,755.40"
2013-08-01,24,23.1,23.6,23.5,19,"25,171","591,838.10"
2013-08-02,24,23.3,23.4,23.6,11,"1,092","25,629.00"
2013-08-05,24,24,24,23.4,2,201,"4,824.00"
2013-08-06,24,24,24,24,1,1,24
2013-08-07,23,22.7,22.7,24,22,"5,521","126,289.20"
2013-08-08,23.8,22.7,22.8,22.7,11,"1,279","29,451.90"
2013-08-12,23.4,22.5,22.5,22.8,18,"3,348","75,396.40"
2013-08-13,23.3,22.1,22.1,22.5,17,"10,076","223,954.20"
2013-08-14,23.2,23,23,22.1,16,"2,698","62,054.60"
2013-08-15,23.1,22.4,23,23,10,"7,616","174,089.10"
2013-08-16,23.1,22.7,22.7,23,2,2,45.8
2013-08-19,23,22.4,22.9,22.7,17,"8,108","184,483.60"
2013-08-21,23,22.3,22.3,22.9,7,"7,201","160,583.60"
2013-08-22,22.7,22.5,22.5,22.3,6,"1,996","44,918.60"
2013-08-23,22.7,22.3,22.3,22.5,7,"6,783","152,506.80"
2013-08-26,22.5,21.5,21.9,22.3,16,"5,537","121,697.90"
2013-08-27,22,21.5,21.7,21.9,7,887,"19,174.90"
2013-08-28,22,21,22,21.7,22,"17,355","366,599.70"
2013-08-29,22,20,20.7,22,37,"43,700","893,401.50"
2013-08-30,21,20,21,20.7,8,"8,701","175,121.00"
2013-09-02,21,20.5,20.5,21,3,940,"19,390.00"
2013-09-03,21,20.1,20.5,20.5,7,"9,881","202,565.00"
2013-09-04,20.5,20.1,20.1,20.5,8,"8,378","168,635.80"
2013-09-05,20.5,20.1,20.1,20.1,9,"1,559","31,343.50"
2013-09-06,20.4,19.9,20.4,20.1,7,"1,173","23,355.20"
2013-09-09,21,20,21,20.4,17,"6,807","141,888.00"
2013-09-10,22.4,21.1,21.7,21,20,"9,954","216,671.80"
2013-09-11,21.8,21,21.1,21.7,8,"1,313","27,733.40"
2013-09-12,21.8,21.4,21.4,21.1,6,436,"9,412.20"
2013-09-13,21.5,20.9,21,21.4,16,"1,834","38,539.00"
2013-09-16,22.4,21,21.1,21,13,"6,307","132,505.00"
2013-09-17,22,20.1,20.5,21.1,17,"5,301","108,627.00"
2013-09-18,21.7,21,21.5,20.5,4,"1,003","21,064.70"
2013-09-20,23,21.5,22,21.5,20,"8,035","178,822.00"
2013-09-23,22.5,22,22.2,22,14,"6,596","145,175.20"
2013-09-24,23.4,22.2,23,22.2,22,"4,734","106,958.10"
2013-09-25,22.9,22.9,22.9,23,12,186,"4,259.40"
2013-09-26,23.5,22.8,23.3,22.9,180,"25,123","580,770.10"
2013-09-27,23.9,23.2,23.8,23.3,28,"7,023","164,657.80"
2013-09-30,22.8,22.8,22.8,23.8,2,4,91.2
2013-10-01,23,22.5,22.8,22.8,16,"36,661","835,388.00"
2013-10-02,23,22.9,22.9,22.8,2,2,45.9
2013-10-03,23,22,22.9,22.9,12,"2,188","49,926.50"
2013-10-04,23,22.5,23,22.9,14,"13,810","316,543.80"
2013-10-07,23.2,22,22,23,15,"5,718","131,292.40"
2013-10-08,23,22,22.5,22,12,"2,487","55,306.80"
2013-10-09,23.5,22.4,22.5,22.5,34,"11,408","261,218.50"
