date,high,low,close,open,trades,shares,turnover,
2013-01-04,33.5,31,33.1,33.1,26,"2,183","70,380.50",
2013-01-07,33.5,33.5,33.5,33.1,1,100,"3,350.00",
2013-01-08,36.5,32,34.9,33.5,20,"17,271","584,818.50",
2013-01-09,38,35,35.1,34.9,23,"11,910","419,416.90",
2013-01-10,37,35.5,36.9,35.1,4,"1,500","55,340.00",
2013-01-11,36,33,34.3,36.9,6,627,"20,971.60",
2013-01-15,35,33.7,35,34.3,4,543,"18,449.10",
2013-01-16,37,33,35.5,35,14,"2,017","71,369.00",
2013-01-17,36.5,35,35,35.5,8,"9,072","319,120.00",
2013-01-18,35,35,35,35,6,366,"12,810.00",
2013-01-21,35.8,34,34,35,9,"1,032","35,134.80",
2013-01-22,33.5,33.1,33.1,34,11,774,"25,623.40",
2013-01-23,35.9,33,34.9,33.1,6,400,"13,972.70",
2013-01-28,32.5,32.2,32.5,34.9,3,180,"5,826.00",
2013-01-29,30.6,30.6,30.6,32.5,1,166,"5,079.60",
2013-01-30,34,34,34,30.6,1,50,"1,700.00",
2013-01-31,34,30.8,32.1,34,4,"2,864","91,805.20",
2013-02-05,32,32,32,32.1,2,101,"3,232.00",
2013-02-06,33.9,32,33.7,32,6,643,"21,443.80",
2013-02-07,34,32,32,33.7,6,265,"8,670.20",
2013-02-08,36.9,34,34,32,3,400,"14,470.00",
2013-02-11,34.1,34.1,34.1,34,1,10,341,
2013-02-12,34,32,32.9,34.1,8,488,"15,829.30",
2013-02-13,33.9,32,33.1,32.9,4,200,"6,590.00",
2013-02-14,32,32,32,33.1,1,40,"1,280.00",
2013-02-15,33,32.9,32.9,32,5,600,"19,786.00",
2013-02-18,32.5,32,32,32.9,16,"3,305","105,780.00",
2013-02-19,31.8,31.7,31.7,32,3,34,"1,081.10",
2013-02-20,32,31.6,31.8,31.7,6,"1,271","40,363.60",
2013-02-21,33.9,33.9,33.9,31.8,4,20,678,
2013-02-22,33.7,31.6,31.9,33.9,3,214,"6,846.60",
2013-02-26,31.6,31.5,31.5,31.9,2,100,"3,151.80",
2013-02-27,33.3,31,33.2,31.5,4,293,"9,482.00",
2013-03-01,33.4,31.2,33.4,33.2,11,607,"19,686.30",
2013-03-04,32,32,32,33.4,9,"4,000","128,000.00",
2013-03-06,34,30.1,33.4,32,19,"4,150","136,839.50",
2013-03-08,36,32,34.8,33.4,21,"291,550","10,203,256.40",
2013-03-11,35.5,34.5,34.7,34.8,5,900,"31,213.00",
2013-03-12,35.4,31.7,35.4,34.7,3,101,"3,571.60",
2013-03-14,36.5,32.5,35,35.4,17,"277,652","9,717,182.60",
2013-03-15,36.3,35,36,35,3,500,"18,020.00",
2013-03-18,38,34,34,36,14,"1,900","68,157.50",
2013-03-19,35,35,35,34,4,"1,000","35,000.00",
2013-03-22,34.9,33,34.1,35,8,704,"23,893.90",
2013-03-27,34.9,33.3,33.9,34.1,8,"1,100","37,260.40",
2013-03-28,35,32.5,34.7,33.9,18,"8,275","279,958.30",
2013-04-02,34.9,31.5,32.1,34.7,12,"3,995","128,051.60",
2013-04-03,35,34.8,34.8,32.1,7,"4,106","142,983.80",
2013-04-04,36,34.5,34.8,34.8,4,"1,500","52,258.00",
2013-04-05,36.5,35.8,36,34.8,16,"5,690","204,522.90",
2013-04-08,36.5,36,36.2,36,2,300,"10,850.00",
2013-04-09,34.5,33.5,34.4,36.2,2,220,"7,570.00",
2013-04-10,33,33,33,34.4,1,100,"3,300.00",
2013-04-11,34.2,32.8,33.1,33,5,332,"10,985.80",
2013-04-12,35.9,33,35.4,33.1,8,"3,092","109,294.30",
2013-04-16,37,37,37,35.4,1,1,37,
2013-04-17,38,34.5,34.6,37,10,"2,965","109,277.80",
2013-04-18,37.4,36,37.1,34.6,6,704,"26,124.00",
2013-04-19,37,37,37,37.1,3,6,222,
2013-04-22,36,34.5,35,37,14,"2,214","76,903.10",
2013-04-23,36.5,35.2,35.8,35,9,"1,445","51,483.00",
2013-04-24,36.5,36.5,36.5,35.8,1,200,"7,300.00",
2013-04-26,37,33.1,37,36.5,7,"3,802","138,812.30",
2013-04-29,36.9,33.4,35.1,37,14,"1,512","53,103.00",
2013-05-02,37,35.9,36.2,35.1,11,"1,400","50,772.60",
2013-05-03,38.5,36.5,38.1,36.2,13,"2,600","97,309.10",
2013-05-06,38.4,36,37,38.1,6,702,"26,671.00",
2013-05-07,38.5,36,38,37,10,"10,551","400,831.40",
2013-05-08,38,35,37.1,38,9,"1,392","51,615.50",
2013-05-10,37.8,36.2,37.1,37.1,7,313,"11,795.20",
2013-05-14,36.5,36,36,37.1,3,366,"13,309.00",
2013-05-15,37.8,36.1,37,36,9,900,"33,323.70",
2013-05-16,36.1,36,36,37,4,640,"23,050.00",
2013-05-17,38,35.7,37.2,36,25,"19,660","721,806.00",
2013-05-20,37.8,36.1,36.2,37.2,3,"1,402","50,782.20",
2013-05-21,36.6,36.5,36.6,36.2,3,398,"14,547.00",
2013-05-22,36.5,36.5,36.5,36.6,2,"1,102","40,223.00",
2013-05-23,37.5,36,36.6,36.5,7,"1,166","42,691.00",
2013-05-27,36.5,36,36,36.6,4,"1,102","39,681.40",
2013-05-28,37.5,36,36.6,36,8,828,"29,952.00",
2013-05-30,37,36.9,36.9,36.6,3,13,480.1,
2013-06-03,37.5,34.3,36.5,36.9,29,"4,097","149,999.20",
2013-06-04,37.4,36,37.4,36.5,6,202,"7,404.80",
2013-06-05,37.5,35.2,35.4,37.4,6,305,"11,008.30",
2013-06-06,37,34.1,37,35.4,17,833,"29,734.80",
2013-06-07,36,35.4,35.5,37,4,12,426,
2013-06-10,36,35,35.5,35.5,23,"2,813","99,082.00",
2013-06-11,36,30.6,34.5,35.5,16,"1,083","37,654.00",
2013-06-12,35.9,31.6,35,34.5,10,"1,059","35,663.40",
2013-06-13,35.9,32.8,32.9,35,4,103,"3,387.70",
2013-06-14,35,34.1,34.3,32.9,6,300,"10,291.00",
2013-06-17,34.4,34,34.3,34.3,8,163,"5,567.00",
2013-06-18,34.3,33.5,33.6,34.3,10,348,"11,757.60",
2013-06-19,34.3,33.5,33.9,33.6,6,293,"9,929.80",
2013-06-20,34.3,32,34.2,33.9,13,345,"11,519.10",
2013-06-21,34.2,32.2,32.4,34.2,6,112,"3,634.40",
2013-06-24,33.9,32.3,33.1,32.4,7,74,"2,457.10",
2013-06-25,33,33,33,33.1,2,2,66,
2013-06-26,33,32.9,33,33,5,"1,530","50,487.00",
2013-06-27,33.9,32.2,33.7,33,10,889,"29,880.20",
2013-07-01,32.1,32,32.1,33.7,8,"1,490","47,732.00",
2013-07-02,32.9,32.9,32.9,32.1,10,"11,101","365,222.90",
2013-07-03,34.8,34.8,34.8,32.9,1,1,34.8,
2013-07-04,32,31,31.8,34.8,3,600,"19,100.00",
2013-07-08,32,30,32,31.8,4,"1,010","32,109.00",
2013-07-09,31.9,30.2,31.8,32,11,"2,700","85,923.20",
2013-07-10,30.3,30.3,30.3,31.8,3,3,90.9,
2013-07-11,32.1,32,32.1,30.3,3,50,"1,604.70",
