date,high,low,close,open,trades,shares,turnover
2013-01-02,84,80,82.1,82.1,5,672,"55,142.40"
2013-01-03,84,84,84,82.1,2,200,"16,800.00"
2013-01-07,84,82.5,83,84,8,"1,100","91,083.50"
2013-01-08,86.5,77.1,85,83,13,"3,971","334,401.90"
2013-01-09,86,80.1,84.9,85,22,"3,397","290,053.00"
2013-01-10,82.5,81,81,84.9,34,"8,400","681,004.00"
2013-01-15,84.3,84,84.1,81,2,300,"25,224.60"
2013-01-16,83.5,78.4,83.3,84.1,7,856,"69,908.80"
2013-01-17,85,80,83.2,83.3,23,"2,657","220,976.20"
2013-01-18,85.9,82,84,83.2,12,"1,501","126,118.60"
2013-01-21,85,82,83.8,84,3,500,"41,900.40"
2013-01-24,83,83,83,83.8,1,500,"41,500.00"
2013-01-28,83,83,83,83,1,500,"41,500.00"
2013-01-30,84.9,81.2,84.2,83,13,"1,258","104,586.50"
2013-02-01,84.4,81.2,83,84.2,6,558,"46,074.80"
2013-02-07,87,83.5,85.1,83,4,308,"26,221.80"
2013-02-08,86.5,85,85,85.1,5,542,"46,301.00"
2013-02-11,86.5,85.9,86,85,7,"1,500","129,210.00"
2013-02-12,86,85.2,85.7,86,10,"1,371","117,471.40"
2013-02-13,85.7,85,85,85.7,5,830,"70,751.00"
2013-02-14,85.5,85.5,85.5,85,2,100,"8,550.00"
2013-02-15,85,82,85,85.5,2,504,"41,913.00"
2013-02-18,85.5,85,85,85,2,205,"17,440.50"
2013-02-19,85,80.3,85,85,3,233,"19,781.50"
2013-02-20,85,85,85,85,1,100,"8,500.00"
2013-02-21,84,80.3,83.9,85,4,249,"20,524.80"
2013-02-22,88.9,86,86,83.9,35,"4,252","369,641.80"
2013-02-26,87,83,83.3,86,16,"1,155","96,207.30"
2013-02-27,86,83.5,84.2,83.3,4,700,"58,929.00"
2013-02-28,86,83,85,84.2,6,536,"45,718.00"
2013-03-01,88,85,85.8,85,8,"1,300","111,537.30"
2013-03-05,87.9,86,87.1,85.8,5,500,"43,569.90"
2013-03-06,88,87.5,87.8,87.1,7,"2,810","246,729.90"
2013-03-07,89.2,86,87.3,87.8,9,"1,705","148,921.60"
2013-03-08,87.9,85,87.9,87.3,3,294,"25,380.00"
2013-03-11,88,86,86.3,87.9,8,"4,012","346,310.00"
2013-03-12,88,88,88,86.3,1,1,88
2013-03-13,88.9,85.3,88.8,88,6,104,"9,231.90"
2013-03-14,88,85,86.4,88.8,14,954,"81,875.10"
2013-03-15,88,87.9,87.9,86.4,2,"3,000","263,700.50"
2013-03-18,87.9,87.9,87.9,87.9,1,2,175.8
2013-03-19,87.4,85.5,86.1,87.9,8,621,"53,365.40"
2013-03-20,87.9,85.5,87.4,86.1,7,"1,002","87,061.00"
2013-03-21,87.8,87,87,87.4,2,"1,050","91,390.00"
2013-03-22,89,87,87.8,87,7,511,"44,810.90"
2013-03-25,90,87.8,87.8,87.8,14,"1,227","108,359.40"
2013-03-27,89.8,87,89.1,87.8,35,"14,580","1,293,002.90"
2013-03-28,89.7,84,85.2,89.1,17,"59,265","4,989,914.00"
2013-04-01,86.5,74.3,85.1,85.2,13,"5,397","454,149.20"
2013-04-02,84,84,84,85.1,1,20,"1,680.00"
2013-04-03,84,84,84,84,1,1,84
2013-04-04,83,83,83,84,1,95,"7,885.00"
2013-04-05,84,81,84,83,4,800,"66,500.00"
2013-04-08,85,80.1,80.1,84,11,"6,951","588,470.90"
2013-04-09,84.4,80.1,83.3,80.1,4,210,"17,499.90"
