date,high,low,close,open,trades,shares,turnover
2013-01-02,75,75,75,75,3,"7,370","552,750.00"
2013-01-03,75.1,75,75.1,75,2,400,"30,030.00"
2013-01-04,74,73,73,75.1,5,"1,310","96,632.00"
2013-01-07,73.5,73.5,73.5,73,4,205,"15,067.50"
2013-01-08,75,75,75,73.5,3,"1,319","98,925.00"
2013-01-09,75.9,75,75,75,3,218,"16,363.50"
2013-01-10,75.9,73.2,75.5,75,4,300,"22,413.50"
2013-01-11,76,75.8,75.9,75.5,6,"10,800","819,726.90"
2013-01-15,75.9,75,75,75.9,7,"1,170","87,840.00"
2013-01-16,74.9,70.1,74.7,75,5,87,"6,197.70"
2013-01-17,79.9,74.1,78.7,74.7,10,"5,460","412,601.50"
2013-01-18,79.3,75,75,78.7,14,"21,104","1,587,224.30"
2013-01-21,79,75,79,75,2,102,"7,654.00"
2013-01-24,79,78,78.3,79,4,370,"29,060.00"
2013-01-28,78.9,64,64.7,78.3,118,"50,338","3,533,610.90"
2013-01-29,65.5,56,57.4,64.7,99,"71,260","4,162,886.80"
2013-01-30,59.9,55,56.3,57.4,56,"39,269","2,206,464.70"
2013-01-31,60,56,56.2,56.3,24,"26,650","1,502,167.00"
2013-02-01,57.5,57,57,56.2,14,"1,269","72,345.50"
2013-02-05,58.9,57,58,57,14,"19,410","1,106,720.00"
2013-02-06,57.5,56.1,56.3,58,17,"12,901","734,300.60"
2013-02-07,59.5,56,57.5,56.3,10,"15,301","857,538.50"
2013-02-08,57,56,56,57.5,8,"5,895","330,460.40"
2013-02-11,57,55,55.2,56,13,"2,162","120,489.40"
2013-02-12,57.9,56,56.9,55.2,17,"4,372","248,643.40"
2013-02-13,57,56.8,56.9,56.9,21,"17,336","987,313.00"
2013-02-15,56.9,56,56.2,56.9,22,"11,300","635,283.90"
2013-02-18,57,55.5,55.5,56.2,12,"200,714","11,240,407.60"
2013-02-19,56,55.9,56,55.5,9,515,"28,839.00"
2013-02-20,56,55.5,56,56,10,"15,496","867,649.80"
2013-02-21,55.8,52.1,52.3,56,20,"3,569","196,144.70"
2013-02-22,55,48,54.2,52.3,15,"1,223","64,883.00"
2013-02-26,55,52.5,52.5,54.2,15,997,"52,380.50"
