date,high,low,close,open,trades,shares,turnover
2013-01-02,16.5,15.7,16.4,16.4,25,"46,545","758,842.30"
2013-01-03,16.8,16,16.5,16.4,16,"9,610","157,167.00"
2013-01-04,16.6,15.7,15.7,16.5,10,"1,282","20,505.70"
2013-01-07,15.7,15.5,15.6,15.7,9,"8,500","132,486.00"
2013-01-08,16.1,15.5,15.5,15.6,7,"5,149","79,810.10"
2013-01-09,15.5,15.5,15.5,15.5,5,"15,100","234,050.00"
2013-01-10,15.7,15.2,15.4,15.5,9,"2,500","38,461.00"
2013-01-11,15.9,15.2,15.4,15.4,12,"17,226","264,492.90"
2013-01-15,15.8,15,15.1,15.4,7,"5,150","77,360.00"
2013-01-16,15.5,15,15,15.1,5,"7,550","113,405.00"
2013-01-17,16.2,15.6,16,15,14,"15,785","254,302.50"
2013-01-18,15.6,15.5,15.6,16,20,"20,350","317,415.00"
2013-01-21,16,15.4,15.4,15.6,28,"25,553","399,611.80"
2013-01-22,15.8,15,15,15.4,19,"19,601","295,999.40"
2013-01-23,15.6,15,15,15,16,"18,456","277,035.60"
2013-01-24,15.6,14.9,14.9,15,7,844,"12,586.90"
2013-01-28,15,14.9,14.9,14.9,6,"1,859","27,809.10"
2013-01-29,14.8,14.1,14.1,14.9,9,"2,400","33,953.30"
2013-01-30,14.8,14,14,14.1,20,"17,229","242,430.00"
2013-01-31,14.9,13.9,14.6,14,13,"9,077","127,409.40"
2013-02-01,14.8,13.9,14,14.6,20,"11,774","164,876.50"
2013-02-05,14.1,13,13.5,14,14,"10,118","137,107.10"
2013-02-06,13.9,13.2,13.3,13.5,9,"1,346","18,601.30"
2013-02-07,13.2,12.8,13,13.3,33,"31,032","403,687.00"
2013-02-08,13,12.9,13,13,8,"1,004","13,051.90"
2013-02-11,13.8,13,13.2,13,9,"2,506","33,279.00"
2013-02-12,13.5,13.2,13.4,13.2,9,"1,812","24,312.00"
2013-02-13,14,13.5,13.5,13.4,6,503,"6,850.50"
2013-02-14,13.8,13,13.6,13.5,12,"1,760","23,952.00"
2013-02-15,13.5,13,13.5,13.6,8,"1,651","21,563.50"
2013-02-18,13.4,12.6,12.6,13.5,20,"6,375","81,361.80"
2013-02-19,12.6,11.7,12.1,12.6,19,"7,257","88,460.10"
2013-02-20,12.8,12.5,12.7,12.1,5,"2,000","25,325.00"
2013-02-21,12.8,12.2,12.8,12.7,3,540,"6,612.00"
2013-02-22,12.8,12.5,12.5,12.8,5,704,"8,831.20"
2013-02-26,12.5,12.1,12.5,12.5,13,"5,020","62,742.00"
2013-02-27,12.4,12.3,12.3,12.5,4,"1,114","13,703.20"
2013-02-28,12.1,12,12,12.3,3,394,"4,734.20"
2013-03-01,12.2,11.8,12.2,12,2,106,"1,290.80"
2013-03-04,12.5,11.9,12.5,12.2,4,858,"10,480.20"
2013-03-05,11.9,11.9,11.9,12.5,3,218,"2,594.20"
2013-03-06,12.2,11.9,12.1,11.9,16,"29,317","354,783.80"
2013-03-07,12,11.9,11.9,12.1,4,"1,000","11,950.00"
2013-03-08,11.9,11.9,11.9,11.9,3,"1,201","14,291.90"
2013-03-11,12,12,12,11.9,2,102,"1,224.00"
2013-03-12,12.4,12,12.1,12,2,"4,598","55,416.00"
2013-03-13,12.1,12.1,12.1,12.1,2,2,24.2
2013-03-14,12.1,12.1,12.1,12.1,1,100,"1,210.00"
2013-03-15,11.8,11.8,11.8,12.1,3,800,"9,440.00"
2013-03-18,11.8,11.5,11.6,11.8,4,"1,879","21,719.70"
2013-03-19,11.8,11.5,11.8,11.6,7,"9,281","108,291.50"
2013-03-20,11.5,11.5,11.5,11.8,2,"2,296","26,404.00"
2013-03-21,11.6,11.5,11.5,11.5,3,"1,000","11,520.00"
2013-03-22,11.8,11.5,11.5,11.5,6,"4,175","48,042.50"
2013-03-25,11.7,11.5,11.7,11.5,3,"2,500","29,150.00"
2013-03-27,11.8,11.5,11.7,11.7,4,700,"8,180.00"
2013-03-28,12.5,12.3,12.3,11.7,2,101,"1,242.50"
2013-04-01,13.9,12.5,13,12.3,24,"5,148","69,323.80"
2013-04-02,13.8,12.4,13.4,13,3,14,187.8
2013-04-03,13.4,13.4,13.4,13.4,1,1,13.4
2013-04-04,13,13,13,13.4,2,350,"4,550.00"
2013-04-08,12.7,12.5,12.6,13,4,"1,001","12,612.60"
2013-04-09,12.7,12.5,12.7,12.6,2,110,"1,377.00"
2013-04-10,13.2,12.7,12.8,12.7,9,"1,031","13,189.80"
2013-04-16,12.8,12.6,12.6,12.8,3,500,"6,300.20"
2013-04-17,12.7,12.5,12.6,12.6,8,"5,301","66,862.60"
2013-04-18,13.2,12.6,13,12.6,7,"2,103","26,869.60"
