date,high,low,close,open,trades,shares,turnover,
2013-01-02,13.2,12.7,13.2,13.2,19,"12,790","167,876.00",
2013-01-03,13.2,13,13,13.2,12,"10,681","138,873.20",
2013-01-04,13,13,13,13,3,"2,046","26,598.00",
2013-01-07,12.8,12.5,12.6,13,9,"3,950","50,207.00",
2013-01-08,13,12.6,13,12.6,18,"11,989","155,539.80",
2013-01-09,13,12.5,12.9,13,7,311,"3,906.30",
2013-01-10,13.2,13.1,13.2,12.9,4,"2,200","28,940.00",
2013-01-11,13.3,12.9,13,13.2,6,"5,850","75,907.00",
2013-01-15,13,13,13,13,4,"8,020","104,260.00",
2013-01-16,13.3,12.9,13.1,13,8,"2,506","33,129.40",
2013-01-17,13.5,13.4,13.5,13.1,14,"16,606","223,831.00",
2013-01-18,13.5,12.9,12.9,13.5,26,"29,928","393,071.30",
2013-01-21,13,12.6,12.8,12.9,8,"3,500","44,720.00",
2013-01-22,12.9,12.6,12.7,12.8,6,"6,311","79,907.90",
2013-01-28,12.6,12.5,12.5,12.7,10,"5,000","62,600.90",
2013-01-29,12.7,12.5,12.6,12.5,4,"2,500","31,410.00",
2013-01-30,13,12.5,12.5,12.6,11,"4,500","56,900.00",
2013-01-31,13,12.7,12.8,12.5,5,"1,425","18,147.50",
2013-02-01,13.2,12.8,12.8,12.8,3,305,"3,984.00",
2013-02-05,13,12.5,12.5,12.8,15,"10,800","136,210.00",
2013-02-06,12.5,12.4,12.4,12.5,4,"2,942","36,730.80",
2013-02-07,13,13,13,12.4,1,458,"5,954.00",
2013-02-08,13.4,13,13,13,10,"3,670","47,764.00",
2013-02-11,14,13.4,13.5,13,94,"108,200","1,462,815.10",
2013-02-12,13.9,13.2,13.7,13.5,24,"23,950","324,954.30",
2013-02-13,13.8,13.2,13.3,13.7,54,"51,201","691,780.80",
2013-02-14,13.5,13.1,13.3,13.3,21,"23,611","315,468.50",
2013-02-15,13.7,13.1,13.1,13.3,27,"89,206","1,178,288.60",
2013-02-18,13.4,12.9,13,13.1,16,"21,380","278,125.50",
2013-02-19,13.2,12.8,13.2,13,6,550,"7,100.00",
2013-02-20,13.3,12.5,12.6,13.2,8,"4,501","57,163.30",
2013-02-21,12.5,12.5,12.5,12.6,5,"2,001","25,012.50",
2013-02-22,12.9,12.9,12.9,12.5,2,300,"3,870.00",
2013-02-26,13,12.2,12.6,12.9,15,"8,796","110,561.50",
