date,high,low,close,open,trades,shares,turnover
2013-01-02,21,21,21,21,1,1,21
2013-01-03,22,21,21.7,21,69,"39,119","851,397.50"
2013-01-04,22,22,22,21.7,9,"12,500","275,000.00"
2013-01-08,23,22.2,23,22,17,"7,334","168,343.90"
2013-01-09,23,23,23,23,3,"1,100","25,300.00"
2013-01-10,24,23,23.3,23,26,"3,392","78,869.60"
2013-01-11,23.8,22.4,23.4,23.3,5,"1,000","23,359.80"
2013-01-15,24,23.2,23.2,23.4,12,"9,134","215,483.80"
2013-01-16,24,23.9,24,23.2,4,100,"2,399.60"
2013-01-17,24,23.9,24,24,18,"12,600","302,238.90"
2013-01-18,24.4,21.5,24,24,18,"9,923","232,537.50"
2013-01-22,23,22.5,22.5,24,3,"1,600","36,301.20"
2013-01-23,24,24,24,22.5,1,1,24
2013-01-24,23.9,22.5,23,24,4,"2,000","45,500.90"
2013-01-28,23,23,23,23,2,"1,001","23,023.00"
2013-01-29,22,22,22,23,1,200,"4,400.00"
2013-01-30,23,22,22.1,22,8,"2,000","44,310.90"
2013-01-31,23,22,22.5,22.1,4,"1,159","26,088.00"
2013-02-01,22,22,22,22.5,1,100,"2,200.00"
2013-02-05,22,20.4,22,22,7,861,"18,618.60"
2013-02-06,24,20.7,22.1,22,8,"2,021","44,558.80"
2013-02-08,23.5,20.7,20.7,22.1,8,"4,010","83,065.00"
2013-02-11,23.4,23.4,23.4,20.7,1,1,23.4
2013-02-12,23.8,23,23.5,23.4,107,"75,159","1,759,560.20"
2013-02-13,25,23.5,24.3,23.5,62,"21,464","518,059.20"
2013-02-14,25,23.8,24.2,24.3,12,"15,601","378,793.50"
2013-02-15,25.4,25,25.2,24.2,23,"16,713","420,981.70"
2013-02-18,25,24.4,24.4,25.2,5,"7,100","174,260.00"
2013-02-19,25,23.6,24.4,24.4,9,"5,702","138,347.10"
2013-02-20,24.4,24.4,24.4,24.4,2,"2,300","56,120.00"
2013-02-22,24.9,23.9,23.9,24.4,10,"4,707","114,362.50"
2013-02-26,22.5,22.2,22.4,23.9,7,669,"14,888.00"
2013-02-27,22,22,22,22.4,1,100,"2,200.00"
2013-02-28,23.7,21,21,22,10,202,"4,345.80"
2013-03-01,21,20.8,20.9,21,18,"1,228","25,684.70"
2013-03-04,22,22,22,20.9,7,"5,200","114,400.00"
2013-03-05,22,22,22,22,2,319,"7,018.00"
2013-03-08,22.5,22.5,22.5,22,2,"1,431","32,197.50"
2013-03-11,23,22.8,23,22.5,3,"3,500","80,400.00"
2013-03-12,23.2,23,23,23,2,"3,900","89,880.00"
2013-03-13,23,23,23,23,2,"3,045","70,035.00"
2013-03-14,24.8,23.5,24.5,23,10,900,"22,017.50"
2013-03-18,23.2,23,23,24.5,4,502,"11,546.40"
2013-03-19,23,23,23,23,1,55,"1,265.00"
2013-03-20,23,23,23,23,2,"2,486","57,178.00"
2013-03-21,23,22.9,23,23,3,"5,000","114,800.00"
2013-03-22,23,22.1,23,23,10,"3,601","81,993.10"
2013-03-25,23,23,23,23,5,"2,798","64,354.00"
2013-03-27,22.6,22.5,22.5,23,4,"5,000","112,500.10"
2013-04-02,23,23,23,22.5,1,100,"2,300.00"
2013-04-04,23.1,23,23,23,4,"10,992","252,916.00"
2013-04-16,23,23,23,23,3,"5,400","124,200.00"
2013-04-18,23.1,23,23,23,2,"4,000","92,150.00"
2013-04-19,23.5,23.1,23.1,23,7,"2,700","62,950.00"
2013-04-22,23.2,23.1,23.1,23.1,8,"3,033","70,182.30"
2013-04-23,24,23.5,23.6,23.1,6,"2,802","66,248.00"
2013-04-24,25.5,24,24.6,23.6,52,"5,600","138,301.00"
