date,high,low,closing,open,trades,shares,turnover
2013-01-02,79,77.5,79,79,4,"1,723","135,150.50"
2013-01-03,81.8,80,80.3,79,3,617,"49,570.60"
2013-01-07,80,75.2,76.5,80.3,5,872,"66,750.40"
2013-01-08,75.3,75.3,75.3,76.5,1,18,"1,355.40"
2013-01-09,79,75.4,78.9,75.3,6,566,"44,091.30"
2013-01-10,75.4,75.4,75.4,78.9,1,5,377
2013-01-15,75.4,75.1,75.1,75.4,5,311,"23,389.50"
2013-01-16,79,75,77.5,75.1,5,564,"43,564.10"
2013-01-17,80,77.5,79.5,77.5,9,"1,873","148,476.50"
2013-01-18,80,72.2,73.2,79.5,10,"1,450","106,795.00"
2013-01-21,75.2,72.2,72.5,73.2,11,"1,263","92,001.70"
2013-01-22,77,72.1,76.8,72.5,9,"3,155","228,338.90"
2013-01-23,79.5,73.1,77.4,76.8,13,"3,600","276,398.00"
2013-01-24,79,75.2,79,77.4,7,"2,505","197,841.50"
2013-01-28,79,75,76.9,79,10,"2,495","187,730.50"
2013-01-29,78.7,73,77.4,76.9,11,956,"71,183.80"
2013-01-31,73,72,73,77.4,4,203,"14,670.80"
2013-02-01,76.9,72.1,73.6,73,2,317,"23,335.70"
2013-02-05,72.3,72.3,72.3,73.6,1,12,867.6
2013-02-07,78,73,73,72.3,4,410,"31,830.00"
2013-02-11,79.9,72.3,74.8,73,19,"2,993","226,710.20"
2013-02-12,78.9,73.4,78,74.8,4,351,"26,288.90"
2013-02-13,74.1,74,74.1,78,5,352,"26,062.00"
2013-02-14,75,74.2,74.2,74.1,2,128,"9,552.00"
2013-02-15,77,73.2,73.5,74.2,10,958,"70,391.60"
2013-02-18,73.5,73.4,73.4,73.5,7,525,"38,565.00"
2013-02-19,77.4,72,75.8,73.4,7,325,"24,118.60"
2013-02-20,72.6,72.3,72.4,75.8,19,"1,669","120,862.30"
2013-02-21,72.4,72.4,72.4,72.4,6,500,"36,200.00"
2013-02-22,72.3,72.2,72.2,72.4,4,785,"56,697.00"
