date,high,low,close,open,trades,shares,turnover
2013-01-02,27.5,24.8,26.5,26.5,46,"32,305","855,804.80"
2013-01-03,26.8,26.6,26.6,26.5,6,"5,701","151,746.80"
2013-01-04,26.6,26.6,26.6,26.6,1,100,"2,660.00"
2013-01-07,26.6,26,26.6,26.6,6,"50,623","1,316,318.00"
2013-01-08,26.5,25.6,26.1,26.6,8,"1,631","42,498.80"
2013-01-09,27.4,26.1,27.2,26.1,27,"10,791","294,620.50"
2013-01-10,27.2,27.1,27.2,27.2,4,"1,601","43,537.20"
2013-01-11,27.2,26,26.1,27.2,5,"1,246","32,967.20"
2013-01-15,27.2,26.1,26.6,26.1,5,302,"7,984.30"
2013-01-16,27,21.4,27,26.6,33,"3,384","86,616.10"
2013-01-17,27.5,27,27,27,17,"8,806","239,195.00"
2013-01-18,27,26,26,27,19,"4,322","112,546.20"
2013-01-21,27,26,26,26,5,601,"15,627.00"
2013-01-22,26,25.3,25.4,26,6,403,"10,225.70"
2013-01-23,26.5,25,25,25.4,4,219,"5,726.50"
2013-01-28,27,25.5,25.5,25,7,911,"23,583.00"
2013-01-29,25.5,24.9,25,25.5,5,"1,192","29,969.00"
2013-01-30,25.5,24.9,24.9,25,2,61,"1,519.50"
2013-01-31,25.5,25,25.5,24.9,5,"4,506","114,663.00"
2013-02-01,25.5,25.5,25.5,25.5,3,"8,620","219,810.00"
2013-02-05,27.9,25.5,27.9,25.5,20,"20,027","510,691.30"
2013-02-06,29,25,25.1,27.9,56,"6,625","168,583.60"
2013-02-07,27,26.4,26.5,25.1,10,573,"15,157.10"
2013-02-08,27,27,27,26.5,1,1,27
2013-02-11,25.6,25.4,25.5,27,4,"1,200","30,500.00"
2013-02-12,25.3,25.3,25.3,25.5,2,230,"5,819.00"
2013-02-13,26.8,25.6,26,25.3,11,"45,409","1,181,144.80"
2013-02-14,26,25.5,26,26,3,"1,300","33,300.00"
2013-02-18,26,25,25.2,26,4,"1,400","35,240.00"
2013-02-19,25.1,25.1,25.1,25.2,1,"1,000","25,100.00"
2013-02-20,25,25,25,25.1,7,"8,019","200,475.00"
2013-02-21,26.3,25,25.1,25,12,"5,750","145,125.00"
2013-02-22,25.1,24.5,25,25.1,12,"10,957","273,896.50"
2013-02-26,24.7,24.5,24.5,25,9,"5,145","126,152.50"
2013-02-27,25,24.5,24.5,24.5,4,"1,508","37,696.00"
2013-02-28,24.5,24.5,24.5,24.5,5,"1,191","29,179.50"
2013-03-01,25.5,23,25,24.5,34,"27,376","681,821.60"
2013-03-04,25.9,24.3,24.3,25,3,"1,002","24,351.80"
2013-03-05,23,22.3,22.4,24.3,4,224,"5,026.70"
2013-03-06,24.9,23.1,23.6,22.4,8,"4,070","96,230.50"
2013-03-07,24.5,24.5,24.5,23.6,4,980,"24,010.00"
2013-03-08,24.9,23.1,24.5,24.5,10,"2,815","66,766.00"
2013-03-11,24.9,24.2,24.8,24.5,11,"2,413","59,785.60"
2013-03-12,24.9,24,24.1,24.8,6,"2,808","67,842.90"
2013-03-13,24.4,24.1,24.1,24.1,4,"1,830","44,106.00"
2013-03-14,27.5,25.6,26.3,24.1,94,"30,040","799,452.70"
2013-03-15,26.8,26,26.1,26.3,17,"13,250","350,700.00"
2013-03-18,26.5,26.1,26.1,26.1,12,"12,151","318,275.70"
2013-03-19,26.5,26.1,26.4,26.1,15,"23,669","625,890.90"
2013-03-20,26.5,25.9,25.9,26.4,33,"35,020","908,693.00"
2013-03-21,26.4,26.1,26.3,25.9,4,940,"24,692.00"
2013-03-22,26.5,26.3,26.4,26.3,3,200,"5,280.00"
2013-03-25,26.4,26.1,26.2,26.4,16,"5,790","152,661.30"
2013-03-27,26.4,26.2,26.2,26.2,7,"3,020","79,326.00"
2013-04-01,26.5,25.9,25.9,26.2,15,"7,252","190,042.60"
2013-04-02,27,26.2,26.5,25.9,16,"8,161","217,207.50"
2013-04-03,27,26.4,26.5,26.5,7,455,"12,044.70"
2013-04-04,27.3,26.1,26.7,26.5,32,"12,358","327,408.10"
2013-04-05,27.5,26.6,27.2,26.7,15,"11,978","325,604.80"
2013-04-08,27.8,27.3,27.7,27.2,34,"6,247","171,385.10"
2013-04-09,27.8,27.4,27.5,27.7,16,"3,417","94,278.20"
2013-04-10,27.5,27.5,27.5,27.5,12,"3,055","84,012.50"
2013-04-11,28,27.5,27.5,27.5,23,"12,737","350,429.90"
2013-04-12,28,27.6,27.6,27.5,6,"2,842","79,345.50"
2013-04-16,28.3,27.9,28.1,27.6,24,"7,198","202,124.50"
2013-04-17,28.1,28,28.1,28.1,14,"13,106","368,178.60"
2013-04-18,28.1,27.8,28,28.1,50,"35,960","1,006,836.40"
2013-04-19,28.1,27.5,27.6,28,14,"3,749","103,455.00"
2013-04-22,29,27.5,28.9,27.6,136,"110,316","3,145,718.80"
2013-04-23,27,25,25.4,28.9,63,"35,713","920,747.00"
2013-04-26,25.9,25,25,25.4,13,"3,953","101,230.20"
2013-04-29,25,25,25,25,4,"6,000","150,000.00"
2013-04-30,24.8,24.8,24.8,25,1,200,"4,960.00"
2013-05-02,25,24.7,24.7,24.8,8,650,"16,090.00"
2013-05-06,26,23.8,23.9,24.7,9,"4,433","113,098.20"
2013-05-07,25.7,24,25.7,23.9,4,202,"4,949.80"
2013-05-08,25.6,25.6,25.6,25.7,1,10,256
2013-05-09,24.9,24.3,24.9,25.6,3,94,"2,328.60"
2013-05-10,25.8,24.3,24.5,24.9,20,"6,762","167,548.40"
2013-05-14,24.5,23.5,23.9,24.5,12,"9,171","219,813.80"
2013-05-15,25.4,24,24.9,23.9,18,"19,967","479,672.60"
2013-05-16,25.5,25.3,25.4,24.9,24,"14,359","365,616.60"
2013-05-17,25.5,24.4,24.7,25.4,9,"5,500","135,610.00"
2013-05-20,25.9,24.5,24.8,24.7,22,"19,037","482,972.50"
2013-05-21,25.6,24.8,24.8,24.8,6,"11,020","273,512.00"
2013-05-22,25,25,25,24.8,3,"5,000","125,000.00"
2013-05-23,26,25.3,25.7,25,9,"7,901","202,016.00"
2013-05-27,25.5,24.4,24.5,25.7,20,"15,921","390,822.00"
2013-05-28,25.7,24.6,25.2,24.5,28,"4,252","105,500.50"
2013-05-29,25.4,24.8,25.1,25.2,26,"2,719","68,276.80"
2013-05-30,25.6,24.7,25.2,25.1,10,240,"6,053.10"
2013-05-31,25.5,25.5,25.5,25.2,1,1,25.5
2013-06-03,26.2,24.8,25.3,25.5,43,"14,146","362,612.70"
2013-06-04,26,24.2,24.9,25.3,36,"4,851","119,004.00"
2013-06-05,24.5,24,24.2,24.9,21,"5,033","122,138.20"
2013-06-06,25.6,24.1,24.7,24.2,7,206,"4,967.70"
2013-06-07,24.2,24.1,24.1,24.7,4,600,"14,519.90"
2013-06-10,24.1,24.1,24.1,24.1,1,1,24.1
2013-06-11,24.1,22.6,23.9,24.1,41,"8,663","202,719.00"
2013-06-12,23.7,22.5,22.7,23.9,7,"2,744","62,076.00"
2013-06-13,23.6,23,23.5,22.7,5,"1,213","28,460.90"
2013-06-14,22.8,22.8,22.8,23.5,4,452,"10,305.60"
2013-06-17,23.8,22.8,23.7,22.8,6,461,"10,689.80"
2013-06-18,23,22.8,22.9,23.7,5,"2,078","47,588.40"
2013-06-19,22.9,22.9,22.9,22.9,1,216,"4,946.40"
2013-06-20,23.5,22.9,23.1,22.9,9,"1,300","30,006.60"
2013-06-21,22.9,22.5,22.8,23.1,13,"9,237","209,178.30"
2013-06-24,23,22.7,23,22.8,4,"3,529","80,116.40"
2013-06-25,23,23,23,23,2,"2,010","46,230.00"
2013-06-26,23.1,23,23.1,23,8,"11,442","264,240.20"
2013-07-01,23.2,22.7,22.7,23.1,12,"1,584","36,318.80"
2013-07-02,23,23,23,22.7,1,196,"4,508.00"
2013-07-03,23.1,23,23,23,2,305,"7,015.50"
2013-07-04,22.7,22.7,22.7,23,1,500,"11,350.00"
2013-07-05,23,22.7,23,22.7,3,740,"17,008.00"
2013-07-08,22.7,22.6,22.6,23,9,"2,960","67,042.00"
2013-07-09,22.6,22.6,22.6,22.6,3,598,"13,514.80"
2013-07-10,22.6,22,22.5,22.6,7,"3,501","78,722.60"
2013-07-11,22.6,22.5,22.5,22.5,4,"2,900","65,259.00"
2013-07-12,22.3,22,22.2,22.5,4,810,"17,950.00"
2013-07-15,23,22.3,22.8,22.2,6,"1,311","29,866.70"
2013-07-16,22,22,22,22.8,1,50,"1,100.00"
2013-07-17,22.6,22.6,22.6,22,2,230,"5,198.00"
2013-07-18,22.5,22.5,22.5,22.6,2,500,"11,250.00"
2013-07-19,23,22.5,23,22.5,3,713,"16,378.80"
2013-07-23,24,24,24,23,1,40,960
2013-07-24,23.5,22.7,23.4,24,7,964,"22,627.30"
2013-07-25,23.4,23.4,23.4,23.4,1,120,"2,808.00"
2013-07-29,23,22.7,23,23.4,2,599,"13,747.30"
2013-07-30,22.9,22.5,22.7,23,5,"1,400","31,900.00"
2013-07-31,22,21.9,22,22.7,2,27,593
2013-08-01,22,22,22,22,2,11,242
2013-08-02,22.8,22.8,22.8,22,1,500,"11,400.00"
2013-08-06,22.8,22,22.4,22.8,8,"3,432","77,148.00"
2013-08-07,22,22,22,22.4,1,2,44
2013-08-12,22.5,22.5,22.5,22,2,400,"9,000.00"
2013-08-14,22.6,22.5,22.6,22.5,4,546,"12,302.90"
2013-08-15,22.5,22.2,22.2,22.6,9,"1,003","22,390.50"
2013-08-16,22.2,22,22,22.2,5,"1,011","22,312.00"
2013-08-19,21.9,21.8,21.9,22,3,301,"6,571.90"
2013-08-21,21.7,20.4,20.6,21.9,5,"1,239","25,927.60"
2013-08-22,22.5,19.6,20,20.6,17,"10,131","203,083.80"
2013-08-23,20.9,19.6,19.6,20,4,"1,090","21,381.00"
2013-08-26,19.9,19.9,19.9,19.6,2,250,"4,975.00"
2013-08-27,20.3,20.3,20.3,19.9,6,"1,726","35,037.80"
2013-08-28,20,18.5,18.6,20.3,15,"3,504","65,102.20"
2013-08-30,19.5,18.6,18.8,18.6,14,"19,520","367,134.50"
2013-09-02,19,16.3,17,18.8,31,"23,754","404,425.50"
2013-09-03,17.9,16.8,16.9,17,12,"3,792","66,554.00"
2013-09-04,17.6,16.5,16.5,16.9,13,"27,826","459,461.50"
2013-09-05,17.4,16.5,16.6,16.5,3,205,"3,397.00"
2013-09-06,17.7,16.6,17.6,16.6,21,"23,271","396,971.00"
2013-09-09,19,18,18.9,17.6,7,"9,000","169,747.40"
2013-09-10,19.9,18,18.2,18.9,13,"29,448","535,950.60"
2013-09-11,20.3,19,20,18.2,10,"35,738","720,083.10"
2013-09-12,20,19.1,19.5,20,19,"11,537","225,921.30"
2013-09-13,20.5,20.1,20.2,19.5,6,"1,019","20,602.40"
2013-09-18,20.1,18,18.6,20.2,14,"7,005","130,143.80"
2013-09-20,20.2,20.1,20.1,18.6,4,"1,045","21,024.50"
2013-09-23,20.2,20.1,20.2,20.1,3,800,"16,110.00"
2013-09-24,20.3,20.3,20.3,20.2,1,100,"2,030.00"
2013-09-25,20.2,20,20.2,20.3,2,600,"12,100.00"
2013-09-26,20,19.6,19.9,20.2,8,"3,276","64,729.00"
2013-09-27,20.1,20,20.1,19.9,3,700,"14,060.00"
2013-09-30,20,19.9,19.9,20.1,6,"1,990","39,700.00"
2013-10-01,20.4,19.6,19.7,19.9,12,"5,037","99,329.00"
2013-10-02,20.9,20,20.2,19.7,7,"1,539","31,067.70"
2013-10-03,20.9,20.9,20.9,20.2,1,10,209
2013-10-04,20.8,20.3,20.5,20.9,10,"2,292","46,903.60"
2013-10-07,22,20.8,21.5,20.5,15,"11,529","248,215.20"
2013-10-08,22.1,22,22.1,21.5,4,"1,640","36,080.10"
2013-10-09,22.4,21.7,21.9,22.1,18,"6,612","145,572.60"
2013-10-10,23,21,23,21.9,16,"10,548","240,312.40"
2013-10-11,23,23,23,23,1,100,"2,300.00"
2013-10-14,23.3,22.5,22.5,23,5,696,"15,736.80"
2013-10-15,22.5,22.5,22.5,22.5,1,9,202.5
2013-10-17,23.3,22.9,23,22.5,11,"6,161","141,898.50"
2013-10-21,22.9,22.6,22.8,23,3,"2,720","62,036.80"
2013-10-22,23,22.6,23,22.8,7,"4,089","93,061.40"
2013-10-25,22.8,22.8,22.8,23,1,500,"11,400.00"
2013-10-28,22.1,22,22,22.8,3,600,"13,201.30"
2013-10-30,22.5,22.5,22.5,22,1,30,675
2013-10-31,23.5,23,23.1,22.5,21,"14,152","326,901.20"
2013-11-01,23.7,23,23,23.1,13,"18,330","423,140.00"
2013-11-04,22.9,22.8,22.9,23,2,348,"7,954.40"
2013-11-05,23.5,23.1,23.5,22.9,4,942,"21,937.00"
2013-11-06,23,23,23,23.5,6,"10,775","247,825.00"
2013-11-07,23,23,23,23,15,"10,275","236,325.00"
2013-11-08,23,23,23,23,4,"2,500","57,500.00"
2013-11-12,23.1,23,23.1,23,2,300,"6,910.00"
2013-11-14,23.8,23,23.2,23.1,14,"12,231","282,833.60"
2013-11-15,23.2,23.2,23.2,23.2,6,"1,200","27,840.00"
2013-11-18,24.9,23.2,23.2,23.2,9,"1,840","43,025.00"
2013-11-20,23.3,23.3,23.3,23.2,1,30,699
2013-11-22,24.4,23.3,23.6,23.3,5,"4,208","99,134.90"
2013-11-25,23.6,23.6,23.6,23.6,1,110,"2,596.00"
2013-11-26,23.6,23.5,23.6,23.6,2,303,"7,150.50"
2013-11-27,23.8,23.7,23.7,23.6,2,"3,500","83,050.00"
2013-11-28,23.6,23.6,23.6,23.7,2,"2,000","47,200.00"
2013-11-29,23.5,23.5,23.5,23.6,2,"1,235","29,022.50"
2013-12-02,23.6,23.5,23.6,23.5,4,"1,081","25,503.50"
2013-12-03,23.6,23.6,23.6,23.6,3,"2,000","47,200.00"
2013-12-04,23.6,23.6,23.6,23.6,1,566,"13,357.60"
2013-12-05,23.7,23.7,23.7,23.6,1,1,23.7
2013-12-06,23.6,23.6,23.6,23.7,1,1,23.6
2013-12-09,23.6,23.6,23.6,23.6,1,1,23.6
2013-12-12,28.5,23.1,23.1,23.6,7,"1,594","36,938.10"
2013-12-17,23.2,23.2,23.2,23.1,1,"1,000","23,200.00"
2013-12-18,23.1,23.1,23.1,23.2,5,"5,000","115,500.00"
2013-12-19,24.9,24.9,24.9,23.1,1,2,49.8
2013-12-24,25,24.5,24.9,24.9,20,"100,209","2,498,129.10"
2013-12-27,25,23.3,25,24.9,17,"7,419","184,611.50"
2013-12-30,24.9,24.9,24.9,25,1,100,"2,490.00"
2013-12-31,24,24,24,24.9,6,"18,087","434,088.00"
2014-01-02,26,25,25.8,24,6,"1,600","41,030.00"
2014-01-03,25.8,24.5,24.6,25.8,4,112,"2,755.30"
2014-01-06,27,25.2,25.7,24.6,8,470,"12,086.80"
2014-01-07,25.4,25,25.4,25.7,5,"2,800","70,990.00"
2014-01-08,25.4,25,25,25.4,21,"51,679","1,292,055.00"
2014-01-09,26.9,25,25.6,25,12,"4,402","111,923.80"
2014-01-10,25,25,25,25.6,1,5,125
2014-01-13,26.7,25.2,26.5,25,19,"6,851","179,995.40"
2014-01-16,26.7,26,26.5,26.5,11,"7,131","186,340.50"
2014-01-17,26.7,26.5,26.5,26.5,5,"20,300","538,000.00"
2014-01-20,26.5,26,26.1,26.5,9,"1,742","45,580.50"
2014-01-23,26.5,25.3,25.3,26.1,8,"11,362","287,902.60"
2014-01-27,27.6,26.3,27,25.3,19,"39,232","1,050,990.60"
2014-01-28,29.9,27,27.9,27,35,"17,666","506,432.90"
2014-01-29,29.4,28,28.9,27.9,23,"15,210","438,038.00"
2014-01-30,28.7,28.5,28.5,28.9,13,"16,113","459,840.50"
2014-01-31,28.6,28.5,28.6,28.5,11,"10,338","294,992.90"
2014-02-03,28.6,28.5,28.6,28.6,4,"2,698","76,943.00"
2014-02-05,29.2,29,29,28.6,8,"3,340","96,880.00"
2014-02-06,29,28.5,28.8,29,8,"10,121","288,919.00"
2014-02-07,29.5,28.5,28.7,28.8,20,"12,325","354,132.20"
2014-02-10,28.7,27.5,27.8,28.7,12,"8,410","234,886.00"
2014-02-11,28.5,27.7,27.9,27.8,3,"1,524","42,459.60"
2014-02-12,27.6,27.6,27.6,27.9,2,400,"11,040.00"
2014-02-13,27.6,27.6,27.6,27.6,2,400,"11,040.00"
2014-02-18,28.3,28.3,28.3,27.6,1,"1,000","28,300.00"
2014-02-19,30.5,29,29.6,28.3,108,"129,532","3,846,574.10"
2014-02-20,29.9,29.3,29.4,29.6,26,"11,869","351,732.00"
2014-02-21,29.8,29.3,29.4,29.4,17,"10,469","307,947.50"
2014-02-24,29.5,29.2,29.4,29.4,15,"22,599","663,338.10"
2014-02-25,30,29.3,29.5,29.4,14,"34,340","1,024,418.80"
2014-02-26,29.8,29.8,29.8,29.5,3,201,"5,989.80"
2014-02-28,29.8,29.8,29.8,29.8,3,"2,032","60,553.60"
2014-03-03,29.8,29.5,29.5,29.8,24,"9,306","274,996.00"
2014-03-04,29.5,29.3,29.5,29.5,23,"9,197","271,034.30"
2014-03-05,29.5,29.4,29.5,29.5,6,"1,848","54,503.20"
2014-03-06,29.8,29.5,29.8,29.5,5,"2,135","63,018.50"
2014-03-07,29.8,29.5,29.5,29.8,11,"2,147","63,398.30"
2014-03-10,29.6,29.6,29.6,29.5,1,485,"14,356.00"
2014-03-11,29.8,29.4,29.5,29.6,19,"19,101","563,956.10"
2014-03-12,29.5,29.3,29.4,29.5,19,"4,982","146,447.90"
2014-03-13,29.5,29.3,29.5,29.4,30,"12,470","366,096.80"
2014-03-14,29.5,29.3,29.4,29.5,14,"3,918","115,281.00"
2014-03-17,29.5,29.3,29.5,29.4,5,"6,518","191,031.00"
2014-03-19,30,29.9,29.9,29.5,11,27,808
2014-03-20,30,29.5,29.5,29.9,12,"14,368","427,216.20"
2014-03-21,30,29.9,30,29.5,11,"2,504","75,119.60"
2014-03-24,30.5,29.7,29.7,30,9,"2,421","72,890.00"
2014-03-25,30.5,30,30,29.7,7,580,"17,400.50"
2014-03-26,30.4,29.7,29.8,30,89,"85,257","2,545,146.40"
2014-03-27,30.4,29.8,29.8,29.8,8,"6,203","184,880.30"
2014-03-28,30.5,30,30.4,29.8,8,"2,589","78,586.50"
2014-03-31,30.4,29.8,30.3,30.4,25,"39,244","1,185,647.00"
2014-04-01,26.9,24,26.1,30.3,9,"5,003","130,563.10"
2014-04-02,26.8,26.2,26.2,26.1,13,"5,607","146,927.50"
2014-04-03,26.8,26.5,26.5,26.2,4,115,"3,047.80"
2014-04-04,26.8,26.2,26.2,26.5,9,193,"5,071.70"
2014-04-07,26.9,26.3,26.6,26.2,17,78,"2,075.40"
2014-04-08,26.9,25.1,25.5,26.6,81,"1,233","31,725.80"
2014-04-09,26.7,26,26.3,25.5,26,436,"11,475.90"
2014-04-10,26.6,26.1,26.3,26.3,44,843,"22,092.80"
2014-04-11,26.8,26.1,26.1,26.3,19,228,"5,961.90"
2014-04-16,27.2,26.7,26.9,26.1,9,"2,025","54,412.20"
2014-04-17,27.2,27,27,26.9,6,"8,005","216,136.00"
2014-04-21,27.1,27,27,27,4,103,"2,781.30"
2014-04-22,27.8,27,27.5,27,15,"6,775","186,762.90"
2014-04-23,27.5,27.5,27.5,27.5,6,"2,000","55,000.00"
2014-04-25,27.5,27.5,27.5,27.5,2,90,"2,475.00"
