date,high,low,close,open,trades,shares,turnover
2014-01-03,27,26.8,26.8,26.8,4,665,"17,844.00"
2014-01-06,28,28,28,26.8,1,1,28
2014-01-07,26.1,25.7,25.8,28,3,10,258
2014-01-08,27.4,26.5,27,25.8,8,"10,010","270,270.40"
2014-01-09,27.5,26.5,27.4,27,5,817,"22,305.80"
2014-01-13,28,27.2,27.7,27.4,8,517,"14,337.80"
2014-01-16,28.8,27.5,27.5,27.7,6,551,"15,253.80"
2014-01-17,27.5,27.4,27.5,27.5,2,110,"3,024.00"
2014-01-20,27.2,27.1,27.1,27.5,7,"1,047","28,374.10"
2014-01-21,28.5,28.5,28.5,27.1,1,10,285
2014-01-23,28,26.3,26.3,28.5,5,260,"6,995.00"
2014-01-24,26.4,26,26.2,26.3,5,"6,000","157,011.60"
2014-01-27,27.9,26.2,26.8,26.2,8,"7,992","214,212.40"
2014-01-28,27,27,27,26.8,3,300,"8,100.00"
2014-01-30,27.7,25.8,26.7,27,7,"6,030","161,029.00"
2014-01-31,25.6,25.6,25.6,26.7,1,500,"12,800.00"
2014-02-03,27,24,24,25.6,9,"53,912","1,296,812.70"
2014-02-05,26.9,25,26.4,24,20,"21,022","555,839.20"
2014-02-06,27,25.2,26.6,26.4,21,"33,902","910,056.10"
2014-02-07,26.8,25,26,26.6,21,"13,979","367,346.00"
2014-02-11,26.2,24,24.6,26,17,"5,668","139,338.20"
2014-02-12,24.8,24.8,24.8,24.6,1,1,24.8
2014-02-13,24.9,24.8,24.9,24.8,8,"2,103","52,307.70"
2014-02-17,24,24,24,24.9,2,100,"2,400.00"
2014-02-19,24.9,23.8,24,24,3,210,"5,110.00"
2014-02-20,23.8,23.8,23.8,24,4,291,"6,925.80"
2014-02-21,24.4,23.1,23.1,23.8,2,120,"2,773.30"
2014-02-24,23.1,23,23,23.1,4,"1,079","24,842.00"
2014-02-25,24.3,21.6,22,23,6,"3,110","70,920.00"
2014-02-26,23,23,23,22,1,100,"2,300.00"
2014-03-03,22.8,22.8,22.8,23,2,30,684
2014-03-04,24.5,22,24.4,22.8,16,"2,791","64,805.70"
2014-03-06,24.3,22.2,22.5,24.4,5,"1,133","25,481.90"
2014-03-07,24,22,22.1,22.5,8,"1,977","43,621.00"
2014-03-10,22.5,22,22,22.1,7,"5,750","126,566.00"
2014-03-11,23.5,23.4,23.4,22,3,54,"1,263.80"
2014-03-12,23.3,23.3,23.3,23.4,1,2,46.6
2014-03-13,23.3,23.3,23.3,23.3,1,4,93.2
2014-03-14,23.3,23.3,23.3,23.3,1,2,46.6
2014-03-17,23.2,21,23.2,23.3,11,"3,091","68,350.00"
2014-03-19,23.2,23.2,23.2,23.2,7,23,533.6
2014-03-20,24.4,22,23.2,23.2,2,2,46.4
2014-03-24,22.5,22.4,22.4,23.2,2,100,"2,243.00"
2014-03-25,24.4,24.4,24.4,22.4,1,1,24.4
2014-03-26,22.8,21.8,22.2,24.4,6,135,"3,047.60"
2014-03-27,23,23,23,22.2,1,20,460
2014-03-28,22.3,22.3,22.3,23,5,328,"7,314.40"
2014-03-31,21.8,21.8,21.8,22.3,2,25,545
2014-04-01,21.7,21.5,21.5,21.8,3,"1,000","21,502.00"
2014-04-02,24.9,21.6,21.7,21.5,11,"4,104","95,394.90"
2014-04-03,24.5,21.7,23.1,21.7,9,"4,300","99,500.00"
2014-04-08,23.4,22,22.1,23.1,10,"5,149","113,676.70"
2014-04-09,23.1,21.7,22.4,22.1,5,"4,530","101,571.00"
2014-04-10,23,21.7,22.4,22.4,14,"14,896","328,028.80"
2014-04-16,24,22.8,23.3,22.4,25,"8,868","206,577.30"
2014-04-17,24.4,24.4,24.4,23.3,1,25,610
2014-04-21,22.7,22.7,22.7,24.4,3,720,"16,344.00"
2014-04-22,23,23,23,22.7,1,10,230
2014-04-23,24.3,23.2,23.3,23,3,57,"1,329.60"
2014-04-24,24,23.2,23.2,23.3,5,105,"2,440.00"
2014-04-25,24,24,24,23.2,1,5,120
2014-04-29,23.5,23.1,23.2,24,5,900,"20,841.50"
2014-04-30,25,24,24.4,23.2,4,"2,054","50,100.00"
2014-05-02,23.2,23.2,23.2,24.4,4,400,"9,280.00"
2014-05-05,24.6,23.3,23.4,23.2,12,"5,348","124,977.50"
2014-05-06,23.3,23.2,23.2,23.4,4,600,"13,932.00"
2014-05-07,23.4,23.1,23.3,23.2,11,"1,966","45,888.60"
2014-05-09,24.5,23.9,24.4,23.3,10,"2,140","52,114.00"
2014-05-12,23.5,23.1,23.4,24.4,4,470,"11,005.00"
2014-05-16,25.4,23.5,24.6,23.4,9,"1,199","29,810.90"
2014-05-19,24.5,24.5,24.5,24.6,2,530,"12,985.00"
2014-05-20,24.5,24.2,24.2,24.5,3,453,"10,963.50"
2014-05-22,24.1,24,24,24.2,6,"1,030","24,820.00"
2014-05-23,24.7,23.4,24.6,24,7,322,"7,561.50"
2014-05-26,24.5,24.5,24.5,24.6,2,2,49
2014-05-27,24.5,23.4,23.5,24.5,9,107,"2,510.80"
2014-05-28,24.3,22.8,22.8,23.5,6,685,"15,685.90"
2014-05-29,24,23.9,23.9,22.8,3,144,"3,446.00"
2014-05-30,24.3,23.1,24.1,23.9,13,169,"4,018.90"
2014-06-02,24.2,22.9,23.1,24.1,17,"1,183","27,669.30"
2014-06-03,23.5,23.5,23.5,23.1,2,15,352.5
2014-06-04,23.9,23.1,23.9,23.5,9,615,"14,378.50"
2014-06-05,24,23.9,24,23.9,5,114,"2,735.90"
2014-06-06,24,23.9,23.9,24,8,72,"1,727.50"
2014-06-09,23.9,23,23.9,23.9,2,2,46.9
2014-06-10,24,23.3,24,23.9,13,818,"19,631.30"
2014-06-11,24.3,23.3,24.3,24,12,"1,242","30,096.10"
2014-06-13,24.4,24,24,24.3,5,"6,720","161,290.00"
2014-06-16,24.5,24,24.5,24,10,341,"8,304.50"
2014-06-17,23.6,23.6,23.6,24.5,4,509,"12,012.40"
2014-06-18,24.4,23.4,24.4,23.6,8,217,"5,094.20"
2014-06-19,24.3,24.1,24.2,24.4,14,"4,057","98,180.50"
2014-06-20,24.3,23.9,24.3,24.2,7,151,"3,635.70"
2014-06-23,24.3,23.7,23.8,24.3,7,117,"2,788.90"
2014-06-24,23.5,23.4,23.5,23.8,4,100,"2,349.30"
2014-06-25,23.4,23.3,23.4,23.5,4,54,"1,258.50"
2014-06-26,23.4,23.4,23.4,23.4,1,1,23.4
2014-06-27,24,23.1,23.3,23.4,14,"1,201","27,974.90"
2014-07-01,23.8,22.4,23.1,23.3,6,50,"1,123.70"
2014-07-02,25.1,22.9,25,23.1,27,"13,745","335,966.50"
2014-07-03,25.1,23,24.8,25,7,"3,501","83,601.10"
2014-07-04,24,23.1,24,24.8,9,"14,068","326,651.00"
2014-07-07,24,24,24,24,3,250,"6,000.00"
2014-07-08,24,23.5,23.8,24,16,"8,327","197,709.70"
2014-07-09,24.1,23.2,24,23.8,8,"2,975","70,662.60"
2014-07-10,25,24,24.5,24,13,"6,414","157,208.20"
2014-07-11,25,24,24,24.5,5,"2,226","53,940.00"
2014-07-14,24.5,24.5,24.5,24,2,300,"7,350.00"
2014-07-15,25,25,25,24.5,1,1,25
2014-07-16,23.6,23.5,23.5,25,7,"3,778","88,883.50"
2014-07-18,24.3,24.3,24.3,23.5,1,10,243
2014-07-22,24.4,23.4,24.4,24.3,4,"1,018","24,821.20"
2014-07-23,24.4,24,24,24.4,5,655,"15,742.00"
2014-07-24,24,23.6,23.6,24,4,"2,303","55,270.80"
2014-07-28,24,23.7,23.7,23.6,5,850,"20,160.00"
2014-07-30,24.4,23.6,23.6,23.7,9,"4,200","99,668.40"
2014-07-31,24.4,23.5,23.6,23.6,7,"2,062","48,628.10"
2014-08-01,25.5,24.3,24.5,23.6,19,"8,548","209,173.20"
2014-08-04,25.4,25.4,25.4,24.5,1,1,25.4
2014-08-05,24.5,24.5,24.5,25.4,2,205,"5,022.50"
2014-08-07,25.9,24.3,24.3,24.5,13,"7,383","179,873.90"
2014-08-08,24.4,24.3,24.4,24.3,4,"5,289","129,042.70"
2014-08-11,25.4,24.5,24.5,24.4,2,60,"1,479.00"
2014-08-12,28.2,26,27.6,24.5,116,"76,910","2,113,814.50"
2014-08-13,31.5,28,30.2,27.6,74,"21,614","643,019.80"
2014-08-14,35,31,33.3,30.2,89,"39,811","1,310,832.50"
2014-08-15,33.9,32.1,33.8,33.3,26,"6,404","214,402.90"
2014-08-18,34,33.5,33.5,33.8,5,"2,651","88,933.60"
2014-08-19,33.5,31.1,31.2,33.5,20,"13,603","427,184.00"
2014-08-20,33.3,31.5,32,31.2,13,"5,801","188,373.90"
2014-08-21,33.4,32.5,32.8,32,5,127,"4,128.80"
2014-08-22,33.4,30.4,32.3,32.8,9,940,"31,085.20"
2014-08-25,33,31.2,31.4,32.3,7,"14,613","458,899.20"
2014-08-26,32.9,30.7,32.5,31.4,8,"2,922","94,919.80"
2014-08-27,32.6,32,32,32.5,2,11,358
2014-08-28,31.6,31.6,31.6,32,1,1,31.6
2014-08-29,32.5,31.6,32,31.6,9,"3,484","111,526.20"
2014-09-01,34.5,32,34.5,32,6,353,"11,580.90"
2014-09-02,34.9,34,34,34.5,2,11,374.9
2014-09-03,34.3,32.4,32.5,34,4,"1,151","37,456.20"
2014-09-04,33.9,32.5,33.6,32.5,10,"4,627","150,784.50"
2014-09-05,33.2,33,33,33.6,3,144,"4,775.80"
2014-09-09,33.3,33.2,33.3,33,11,"11,923","396,155.60"
2014-09-10,34,32.7,33,33.3,13,"7,530","250,685.00"
2014-09-11,34,32.8,32.9,33,7,805,"26,620.00"
2014-09-12,34.9,32.9,34.5,32.9,13,"3,959","136,595.00"
2014-09-15,34,32.7,33,34.5,6,"5,601","183,334.00"
2014-09-16,34,33.3,33.3,33,6,"1,303","43,599.70"
2014-09-17,34,32.7,32.7,33.3,11,"2,303","77,888.50"
2014-09-18,33.1,33.1,33.1,32.7,2,200,"6,620.00"
2014-09-19,34.5,34,34.4,33.1,7,"1,663","57,235.90"
2014-09-23,33,33,33,34.4,1,80,"2,640.00"
2014-09-24,33,33,33,33,2,29,957
2014-09-26,34.9,33,33,33,7,601,"20,274.90"
2014-09-29,32,32,32,33,1,100,"3,200.00"
2014-09-30,32.3,32.2,32.2,32,35,"24,238","780,466.60"
2014-10-01,33.2,32.2,32.2,32.2,2,359,"11,568.80"
2014-10-02,33.8,32.6,32.6,32.2,5,221,"7,228.60"
2014-10-03,33,32.9,33,32.6,2,"1,600","52,790.00"
2014-10-07,34,33.9,34,33,2,110,"3,739.00"
2014-10-09,35.5,34.5,35.5,34,33,"31,798","1,125,952.50"
2014-10-10,35.5,35,35.3,35.5,8,"6,285","222,775.00"
2014-10-13,38.4,36.6,37.2,35.3,21,"19,901","736,364.60"
2014-10-14,46.5,35.5,41.3,37.2,89,"98,731","4,010,083.50"
2014-10-15,50,46.2,47,41.3,75,"59,974","2,854,891.20"
2014-10-16,47.9,46.7,46.7,47,49,"31,627","1,480,380.90"
2014-10-17,57,46.8,52,46.7,138,"102,965","5,531,486.80"
2014-10-20,53.8,51.7,52,52,38,"49,244","2,614,817.80"
2014-10-21,54,51,51.3,52,25,"11,199","591,539.80"
2014-10-23,52.9,47.6,51.7,51.3,13,"1,582","81,214.80"
2014-10-24,52.9,51,52.3,51.7,46,"9,223","483,710.70"
2014-10-27,53.5,51,52.8,52.3,41,"1,676","88,497.50"
2014-10-28,52.5,50,50.1,52.8,20,"9,625","492,143.90"
2014-10-29,52,49,51.7,50.1,5,"5,411","272,069.00"
2014-10-30,52,50.3,50.9,51.7,3,15,763
2014-11-03,50,50,50,50.9,1,100,"5,000.00"
2014-11-04,50,46,50,50,6,"3,330","154,290.00"
