date,high,low,close,open,trades,shares,turnover
2014-01-02,10.2,10,10,10,37,"111,500","1,115,660.00"
2014-01-03,10.1,9.9,10,10,65,"415,471","4,154,582.20"
2014-01-06,10,9.9,10,10,13,"55,470","549,370.00"
2014-01-07,10,9.8,10,10,21,"84,125","839,993.50"
2014-01-08,10.4,10,10.3,10,88,"1,059,656","10,620,712.50"
2014-01-09,10.4,10,10,10.3,26,"47,755","487,571.00"
2014-01-10,10.1,10.1,10.1,10,6,"3,095","31,259.50"
2014-01-13,10.3,10.1,10.2,10.1,16,"19,475","199,235.00"
2014-01-16,10.3,10.1,10.2,10.2,40,"152,715","1,557,643.00"
2014-01-17,10.2,10,10.2,10.2,19,"182,230","1,857,156.00"
2014-01-20,10.3,10.1,10.3,10.2,25,"60,701","623,950.30"
2014-01-21,10.3,10.2,10.3,10.3,18,"26,210","269,523.00"
2014-01-22,10.3,10.1,10.3,10.3,33,"74,050","756,625.00"
2014-01-23,10.5,10.2,10.3,10.3,71,"159,855","1,657,967.30"
2014-01-24,10.3,10.1,10.1,10.3,20,"32,460","328,602.90"
2014-01-27,10.4,10.1,10.2,10.1,48,"175,972","1,802,366.60"
2014-01-28,10.4,10.3,10.3,10.2,30,"38,086","393,205.80"
2014-01-29,10.5,10.3,10.4,10.3,22,"63,588","662,790.70"
2014-01-30,10.4,10.3,10.3,10.4,24,"47,430","489,733.00"
2014-01-31,10.4,10.3,10.3,10.3,13,"5,550","57,167.50"
2014-02-03,10.4,10.3,10.3,10.3,13,"57,964","598,139.20"
2014-02-05,10.3,10.1,10.2,10.3,31,"63,302","645,694.90"
2014-02-06,10.2,10.1,10.1,10.2,12,"30,199","305,899.80"
2014-02-07,10.1,10,10.1,10.1,7,"12,099","122,190.00"
2014-02-10,10.2,10,10,10.1,31,"56,060","560,900.00"
2014-02-11,10,9.9,9.9,10,8,"11,523","115,187.70"
2014-02-12,10,9.9,9.9,9.9,20,"10,401","103,267.40"
2014-02-13,9.9,9.9,9.9,9.9,8,"11,451","113,364.90"
2014-02-17,10,9.9,9.9,9.9,7,"19,600","195,140.00"
2014-02-18,10,9.8,9.8,9.9,13,"11,111","109,699.00"
2014-02-19,9.9,9.7,9.7,9.8,31,"31,175","304,347.90"
2014-02-20,9.7,9.5,9.6,9.7,35,"74,742","715,670.20"
2014-02-21,9.7,9.5,9.6,9.6,12,"14,604","139,879.80"
2014-02-24,9.7,9.6,9.6,9.6,4,"1,800","17,360.00"
2014-02-25,9.5,9.4,9.4,9.6,25,"42,424","400,498.00"
2014-02-26,9.5,9.3,9.3,9.4,12,"2,300","21,505.00"
2014-02-28,9.7,9.5,9.5,9.3,14,"24,300","233,000.00"
2014-03-03,9.6,9.3,9.5,9.5,10,"4,843","45,786.70"
2014-03-04,9.8,9.5,9.5,9.5,10,"4,502","42,999.00"
2014-03-06,9.8,9.5,9.5,9.5,9,"55,205","524,719.00"
2014-03-07,10,9.6,10,9.5,4,"12,150","116,700.00"
2014-03-10,9.7,9.7,9.7,10,2,150,"1,455.00"
2014-03-11,9.9,9.7,9.7,9.7,4,"1,940","18,826.00"
2014-03-12,9.7,9.6,9.6,9.7,12,"16,900","162,490.00"
2014-03-13,9.6,9.4,9.4,9.6,19,"10,780","102,410.00"
