date,high,low,close,open
2017-01-02,19.8,19.8,19.7,19.7
2017-01-03,19.6,19.6,19.6,19.7
2017-01-04,19.8,19.6,19.6,19.6
2017-01-05,19.8,19.6,19.6,19.6
2017-01-06,19.8,19.6,19.6,19.6
2017-01-09,19.9,19.6,19.6,19.6
2017-01-10,19.9,19.6,19.7,19.6
2017-01-11,20.1,19.6,19.9,19.7
2017-01-13,20.1,19.7,20.1,19.9
2017-01-16,20.1,20,20.1,20.1
2017-01-17,20.1,20,20,20.1
2017-01-18,20.1,20.1,20.1,20
2017-01-19,20.5,20.1,20.5,20.1
2017-01-23,20.7,20.2,20.7,20.5
2017-01-24,21.1,20.7,21,20.7
2017-01-25,22.2,21.1,22.2,21
2017-01-26,24,22,23.5,22.2
2017-01-27,23.9,23.5,23.6,23.5
2017-01-30,23.7,22,23.5,23.6
2017-01-31,22.9,22.1,22.8,23.5
2017-02-01,23.2,22.6,23,22.8
2017-02-02,23,23,23,23
2017-02-03,23,22.6,23,23
2017-02-06,23,22.7,22.7,23
2017-02-07,22.9,22.7,22.7,22.7
2017-02-08,22.9,22.6,22.6,22.7
2017-02-09,23,23,23,22.6
2017-02-13,23,22.6,22.7,23
2017-02-14,23,22.7,22.7,22.7
2017-02-15,23,22.8,23,22.7
2017-02-16,23,22.7,23,23
2017-02-17,23.2,23,23.1,23
2017-02-20,23,23,23,23.1
2017-02-21,23,23,23,23
2017-02-22,23.2,23,23,23
2017-02-23,23.5,23.2,23.5,23
2017-02-27,23.4,23,23.1,23.5
2017-02-28,23.3,22.8,23,23.1
2017-03-01,23,23,23,23
2017-03-02,23,23,23,23
2017-03-03,23,22.9,22.9,23
2017-03-07,22.5,22.5,22.5,22.9
2017-03-08,22.8,22.5,22.8,22.5
2017-03-09,23,22.5,22.9,22.8
2017-03-10,23,22.6,23,22.9
2017-03-13,23,23,23,23
2017-03-14,22.7,22.6,22.7,23
2017-03-15,23,22.8,23,22.7
2017-03-16,23,22.7,23,23
2017-03-17,23,22.7,23,23
2017-03-20,23,22.7,23,23
2017-03-21,23.2,23,23.2,23
2017-03-22,23,22.8,22.8,23.2
2017-03-23,23.4,23,23.4,22.8
2017-03-24,23.6,23,23.5,23.4
2017-03-27,23.6,23.5,23.5,23.5
2017-03-28,23.6,23.6,23.6,23.5
2017-03-29,24.4,23.5,23.6,23.6
2017-03-30,24,23.5,24,23.6
2017-03-31,24.5,24,24.4,24
2017-04-03,24.7,24,24.6,24.4
2017-04-04,25,24.7,25,24.6
2017-04-05,25.9,25,25.5,25
2017-04-06,25.5,24.5,25.4,25.5
2017-04-07,26.5,25.6,26.2,25.4
2017-04-11,27.5,26.5,27.5,26.2
2017-04-12,30,27,29.3,27.5
2017-04-17,29.7,28,28.1,29.3
2017-04-18,28.4,27.6,28,28.1
2017-04-19,29.5,28.2,28.7,28
2017-04-20,28.7,28,28.5,28.7
2017-04-21,28,27.6,27.7,28.5
2017-04-24,28,27.7,27.9,27.7
2017-04-25,28,27.7,27.9,27.9
2017-04-26,28,27.8,28,27.9
2017-04-27,31,27.9,30.1,28
2017-04-28,31,29.9,30.7,30.1
2017-05-02,31,30.1,30.9,30.7
2017-05-03,31.5,30.8,31.4,30.9
2017-05-04,32.5,31.5,32,31.4
2017-05-05,32,31.3,32,32
2017-05-08,32.8,32,32.5,32
2017-05-09,33,32.1,32.2,32.5
2017-05-12,33,32.1,32.9,32.2
2017-05-15,33.6,33,33.3,32.9
2017-05-16,33.4,33.1,33.2,33.3
2017-05-17,33,32,32,33.2
2017-05-18,32.8,32.4,32.7,32
2017-05-19,34,32,33.9,32.7
2017-05-22,34.5,33.5,34,33.9
2017-05-23,33.9,33.1,33.9,34
2017-05-24,34,33,33.6,33.9
2017-05-25,34.3,33.5,34.1,33.6
2017-05-26,34.6,34,34.5,34.1
2017-05-29,34.8,33.7,33.9,34.5
2017-05-30,33.7,32.3,32.5,33.9
2017-05-31,33.5,32.8,33.3,32.5
2017-06-01,33.5,32.8,33.4,33.3
2017-06-02,33.7,32.5,33.4,33.4
2017-06-05,33.2,33,33,33.4
2017-06-06,33,32.1,33,33
2017-06-07,33.5,32.9,33,33
2017-06-09,33.1,32.5,32.9,33
2017-06-12,33,32.5,33,32.9
2017-06-13,33,32.3,32.6,33
2017-06-14,32.9,32.5,32.9,32.6
2017-06-15,32.9,32.5,32.7,32.9
2017-06-16,32.8,32.6,32.8,32.7
2017-06-19,32.7,32,32,32.8
2017-06-20,32.1,32,32.1,32
2017-06-21,33,32,32.9,32.1
2017-06-22,32.9,32.1,32.2,32.9
2017-06-23,32.7,32.5,32.2,32.2
2017-06-27,32.5,32.5,32.5,32.2
2017-06-28,32.9,30.6,31.5,32.5
2017-06-29,32.7,30.9,32,31.5
2017-06-30,33,31,31.8,32
2017-07-03,31.9,31.1,31.5,31.8
2017-07-04,31.2,31.1,31.2,31.5
2017-07-05,31.1,30.3,31,31.2
2017-07-06,32.5,31.5,32.4,31
2017-07-07,32.9,32,32.3,32.4
2017-07-10,32.6,32.5,32.5,32.3
2017-07-11,32.9,32.5,32.6,32.5
2017-07-12,33.8,32.9,33.7,32.6
2017-07-13,34.8,33.5,34.3,33.7
2017-07-14,34.6,34,34,34.3
2017-07-17,34.1,34,34.1,34
2017-07-18,34.2,34,34,34.1
2017-07-19,34.1,34,34.1,34
2017-07-20,34.1,34,34.1,34.1
2017-07-21,34.9,34,34.5,34.1
2017-07-24,35,34.2,35,34.5
2017-07-25,35,34.4,35,35
2017-07-26,35,34,34.1,35
2017-07-27,34.5,34,34.5,34.1
2017-07-28,35,34.5,34.8,34.5
2017-07-31,35,34,34.2,34.8
2017-08-01,34.5,34,34.5,34.2
2017-08-02,34.1,34.1,34.1,34.5
2017-08-03,34,33.6,34,34.1
2017-08-04,34.4,34,34.4,34
2017-08-08,34,34,34.4,34.4
2017-08-09,34.2,34,34.2,34.4
2017-08-10,34.5,34.1,34.5,34.2
2017-08-11,34.1,34,34,34.5
2017-08-14,34.3,34,34,34
2017-08-15,34.4,34,34.4,34
2017-08-16,34,34,34,34.4
2017-08-17,34,33,33.2,34
2017-08-18,33.5,33.5,33.5,33.2
2017-08-21,34,33.5,34,33.5
2017-08-22,34,33.5,34,34
2017-08-23,34,33.9,34,34
2017-08-24,34.1,34,34,34
2017-08-25,34.5,34.1,34.4,34
2017-08-28,34,33.9,34,34.4
2017-08-29,34,34,34,34
2017-08-30,34,33.5,33.7,34
2017-08-31,33.9,33,33,33.7
2017-09-04,33.1,33.1,33.1,33
2017-09-06,33.2,33.1,33.2,33.1
2017-09-07,33.2,33.1,33.2,33.2
2017-09-08,33.9,33.1,33.5,33.2
2017-09-11,34,33.7,34,33.5
2017-09-12,34.5,33.6,34.5,34
2017-09-13,33.5,33.5,33.5,34.5
2017-09-14,34,34,34,33.5
2017-09-15,35.2,34.4,35,34
2017-09-18,36.1,35.4,35.6,35
2017-09-19,36,35.6,35.8,35.6
2017-09-20,36,35,35.2,35.8
2017-09-21,35,34.7,35,35.2
2017-09-22,35,34.7,34.8,35
2017-09-25,35,35,35,34.8
2017-09-26,35,34.9,35,35
2017-09-27,35,33.2,35,35
2017-09-28,34.8,34.5,34.5,35
2017-09-29,35,34.5,34.9,34.5
2017-10-02,35,33.2,33.6,34.9
2017-10-03,33.9,33,33.2,33.6
2017-10-04,33.4,31.1,31.6,33.2
2017-10-06,32.4,31.1,31.9,31.6
2017-10-09,33,31.8,31.8,31.9
2017-10-10,31.6,30,30.8,31.8
2017-10-11,31,30,30.1,30.8
2017-10-12,31,31,31,30.1
2017-10-13,30.2,28.2,28.9,31
2017-10-16,29.9,29,29.1,28.9
2017-10-17,30,29.2,30,29.1
2017-10-19,30.4,29.5,29.9,30
2017-10-20,30.5,30,30,29.9
2017-10-23,30.5,30,30,30
2017-10-24,30,29.8,30,30
2017-10-25,29.8,29.8,29.8,30
2017-10-26,29.9,29.5,29.9,29.8
2017-10-27,30.4,29.3,29.4,29.9
2017-10-30,30,30,30,29.4
2017-10-31,30,29.4,30,30
2017-11-01,30,29.9,30,30
2017-11-02,30,29.5,30,30
2017-11-06,30,29.3,29.3,30
2017-11-09,29.5,29,29,29.3
2017-11-10,29.5,29,29.1,29
2017-11-13,29.4,29,29.4,29.1
2017-11-14,29.8,28.9,29.4,29.4
2017-11-15,29,29,29.4,29.4
2017-11-16,29,28.6,29,29.4
2017-11-17,28.6,28.6,29,29
2017-11-20,29.5,28,29.3,29
2017-11-21,28.5,28,28.5,29.3
2017-11-22,27.5,27.5,28.5,28.5
2017-11-23,28,27.6,27.6,28.5
2017-11-24,29.4,28.7,29,27.6
2017-11-27,29,28,28,29
2017-11-28,28.1,28,28,28
2017-11-29,28.6,28,28,28
2017-11-30,28.9,28.7,28.8,28
2017-12-04,28.9,27.7,27.9,28.8
2017-12-05,28,27.5,27.7,27.9
2017-12-06,27.5,25.2,27.5,27.7
2017-12-07,28,26,27.1,27.5
2017-12-08,28,27,27.3,27.1
2017-12-11,26.1,26.1,27.3,27.3
2017-12-12,27,27,27,27.3
2017-12-13,27.1,27,27,27
2017-12-14,28.2,28.2,28.2,27
2017-12-15,28.2,27.4,27.8,28.2
2017-12-18,27.4,27.1,27.4,27.8
2017-12-19,27.9,27.1,27.7,27.4
2017-12-21,27.1,26.1,27,27.7
2017-12-22,27,26.9,26.9,27
2017-12-26,28.3,27,27.3,26.9
2017-12-27,28.6,28,28,27.3
2017-12-28,28,27.5,28,28
2017-12-29,27.7,27.4,27.7,28
