horizon,mse,rmse,mae,mape,coverage
35 days 00:00:00.000000000,23.895842703316063,4.888337417089379,4.034408151361973,0.05605512536934229,0.4393939393939394
35 days 00:00:00.000000000,23.901242216655675,4.888889671147803,4.038091921790354,0.05605563675137687,0.4393939393939394
35 days 00:00:00.000000000,24.189957536003952,4.918328734031912,4.093811537912793,0.0568760951282905,0.42424242424242425
35 days 00:00:00.000000000,25.90413436989502,5.089610434001312,4.214016604729909,0.05875706628773325,0.4090909090909091
35 days 00:00:00.000000000,25.87740276985566,5.0869836612530674,4.211484474069281,0.058737189244797684,0.4090909090909091
36 days 00:00:00.000000000,25.759148234572056,5.0753471048364815,4.199289041215444,0.05859683392125133,0.4090909090909091
36 days 00:00:00.000000000,25.63519072339964,5.063120650685666,4.188943090348859,0.05841047298122263,0.4090909090909091
37 days 00:00:00.000000000,26.100264028153255,5.1088417501575885,4.249617182349719,0.059295333488459744,0.3939393939393939
37 days 00:00:00.000000000,26.050355485822333,5.103954886734632,4.234040345628571,0.058961580090326995,0.3939393939393939
37 days 00:00:00.000000000,26.211965120457517,5.119762213272948,4.256203438216831,0.05933977283921175,0.3787878787878788
38 days 00:00:00.000000000,26.099390203791167,5.108756228652055,4.2393252648117254,0.05920721121826422,0.3939393939393939
38 days 00:00:00.000000000,26.50070061825369,5.1478831201041935,4.30721296669015,0.060174847521581226,0.3787878787878788
39 days 00:00:00.000000000,26.700750037444863,5.167276849312882,4.327689292098279,0.06048480987848888,0.3787878787878788
39 days 00:00:00.000000000,28.595247541045893,5.347452434668858,4.483324328292006,0.06269479137304602,0.36363636363636365
40 days 00:00:00.000000000,28.973537226879852,5.3827072395663365,4.52713241307222,0.06346795057946737,0.3484848484848485
40 days 00:00:00.000000000,28.658116251487,5.353327586790015,4.496091849268431,0.06318821242916717,0.3484848484848485
40 days 00:00:00.000000000,29.116858592833758,5.396003946702945,4.531335027592175,0.06358378501792378,0.3333333333333333
40 days 00:00:00.000000000,30.881642584895506,5.557125388624545,4.658836132791547,0.06553975509825875,0.3181818181818182
40 days 00:00:00.000000000,30.66705659352389,5.537784448091482,4.615536540861185,0.06490979009168842,0.3333333333333333
41 days 00:00:00.000000000,30.782061788624993,5.548158414160954,4.6429115167438555,0.06538926735403162,0.3181818181818182
41 days 00:00:00.000000000,32.584345329242836,5.708269906831915,4.775121020543453,0.06726855000312923,0.3181818181818182
41 days 00:00:00.000000000,32.8581059926936,5.732199053826864,4.8242395748008065,0.067917081876301,0.30303030303030304
41 days 00:00:00.000000000,31.9322368971692,5.650861606619755,4.724602887935739,0.06637811396522236,0.3181818181818182
42 days 00:00:00.000000000,32.14979090625341,5.670078562617401,4.747560455622748,0.0667053122648489,0.3181818181818182
42 days 00:00:00.000000000,32.15354996199566,5.670410034732555,4.748745399533882,0.06664310139820952,0.3181818181818182
42 days 00:00:00.000000000,34.89030243319155,5.906801370724391,4.911173977607201,0.06881384327954389,0.3181818181818182
43 days 00:00:00.000000000,39.60622371931069,6.293347576553411,5.133374360264549,0.07166642254031266,0.30303030303030304
43 days 00:00:00.000000000,40.16760091724227,6.3377914857813265,5.182980501823572,0.07231489097136981,0.30303030303030304
43 days 00:00:00.000000000,44.61371493724049,6.679349888817061,5.404705185021805,0.07532590877473916,0.2878787878787879
45 days 00:00:00.000000000,45.4109550476853,6.738765098123342,5.494060476638532,0.0769658765663152,0.2727272727272727
46 days 00:00:00.000000000,50.857702682552244,7.131458664435505,5.74125206869191,0.07998538696414427,0.2727272727272727
46 days 00:00:00.000000000,54.79486938571871,7.402355664632625,5.942239061520218,0.08277752824587478,0.25757575757575757
47 days 00:00:00.000000000,54.43780469653582,7.378197930154478,5.897683484475106,0.08207489495442852,0.25757575757575757
48 days 00:00:00.000000000,55.14820147996977,7.426183507022283,5.985791270383941,0.08368954696621314,0.24242424242424243
49 days 00:00:00.000000000,58.55240969602071,7.65195463238124,6.136293823739801,0.08549911059255318,0.24242424242424243
49 days 00:00:00.000000000,58.99604844392427,7.68088851917044,6.181578799349689,0.08634224714811208,0.22727272727272727
51 days 00:00:00.000000000,64.35745887278989,8.022310070845547,6.455464124681882,0.08973115498398965,0.21212121212121213
52 days 00:00:00.000000000,64.0969980529881,8.006060083023865,6.4245948858011275,0.08937557465250268,0.21212121212121213
