horizon,mse,rmse,mae,mape,coverage
19 days 00:00:00.000000000,5.665661141871859,2.3802649310259265,1.6586789403051647,0.12807341235600192,0.3691275167785235
19 days 00:00:00.000000000,5.668137415103166,2.380785041767351,1.6593119429824106,0.12809861715585086,0.3691275167785235
19 days 00:00:00.000000000,5.70847802291922,2.389242144053051,1.6705500538190827,0.12860336683946869,0.3691275167785235
19 days 00:00:00.000000000,5.704778463023003,2.3884678065703553,1.667513266391581,0.12833374348081258,0.37583892617449666
19 days 00:00:00.000000000,5.8853041429247055,2.425964579899036,1.7012056616397853,0.13048065767332614,0.3691275167785235
19 days 00:00:00.000000000,5.88644152207992,2.4261989864971754,1.7020646817370242,0.130431139904826,0.3691275167785235
19 days 00:00:00.000000000,5.8935480964579945,2.42766309368866,1.7053087040885753,0.1306622749005279,0.3691275167785235
19 days 00:00:00.000000000,5.892204675521086,2.4273863877679394,1.7023260212428373,0.1303230596980966,0.3691275167785235
20 days 00:00:00.000000000,5.775096312173851,2.4031430070168214,1.6762407809502855,0.12861651114163686,0.37583892617449666
20 days 00:00:00.000000000,6.0029430570763465,2.450090418143042,1.7028486347884642,0.13112636790807602,0.37583892617449666
20 days 00:00:00.000000000,5.810233426795533,2.410442579028908,1.6691195562194396,0.12834101535386294,0.3825503355704698
20 days 00:00:00.000000000,5.833868643476913,2.415340274884041,1.6806504598588135,0.1289876791425531,0.37583892617449666
20 days 00:00:00.000000000,5.849791670139947,2.4186342572079695,1.688160070029335,0.12921993612197397,0.3691275167785235
20 days 00:00:00.000000000,5.84314516849773,2.417259847119819,1.684657616398516,0.129005062882072,0.37583892617449666
20 days 00:00:00.000000000,5.850604777292057,2.4188023435766834,1.6877443045844673,0.12921791934533786,0.37583892617449666
20 days 00:00:00.000000000,5.859479588411959,2.42063619497271,1.690168865390264,0.12942875071975496,0.37583892617449666
21 days 00:00:00.000000000,5.747656940106907,2.3974271501146616,1.6658296765358367,0.1278903927256308,0.3825503355704698
21 days 00:00:00.000000000,5.747926572859657,2.397483383229101,1.6665395214269514,0.12795542071711807,0.3825503355704698
21 days 00:00:00.000000000,5.747235762672289,2.3973393090408144,1.6663008936385955,0.12824370591814843,0.3825503355704698
21 days 00:00:00.000000000,5.827729217706875,2.4140690167654437,1.673011015786599,0.12885883443707136,0.3825503355704698
21 days 00:00:00.000000000,5.831546277028226,2.4148594735570486,1.6765425057693983,0.12931890762842535,0.37583892617449666
