horizon,mse,rmse,mae,mape,coverage
19 days 00:00:00.000000000,5.064357206746009,2.250412674765677,1.8209044174746398,0.08883992533939519,0.39622641509433965
19 days 00:00:00.000000000,5.145210595794855,2.268305666305768,1.8433589290614731,0.08987936956374355,0.3867924528301887
19 days 00:00:00.000000000,5.104957372921044,2.2594152723483667,1.8342245685975602,0.08932305767400182,0.3867924528301887
19 days 00:00:00.000000000,5.275617951968331,2.2968713398813465,1.8585642917111043,0.09042507004517636,0.3867924528301887
19 days 00:00:00.000000000,5.250086543028169,2.291306732637114,1.8501967279913507,0.0902955025409112,0.39622641509433965
19 days 00:00:00.000000000,5.2224205992743356,2.285261604122017,1.8387777097673081,0.08960071627239281,0.4056603773584906
20 days 00:00:00.000000000,5.137652680248092,2.266639071455377,1.820364131860158,0.08879969626388737,0.4056603773584906
20 days 00:00:00.000000000,5.21410199320353,2.2834408232322403,1.8375490022725216,0.0894864979093263,0.39622641509433965
20 days 00:00:00.000000000,5.264420400307221,2.2944324789165664,1.859185051254587,0.09063874191250641,0.3867924528301887
20 days 00:00:00.000000000,5.253185705676354,2.2919829200228246,1.8556105099386067,0.0903625664861625,0.3867924528301887
20 days 00:00:00.000000000,5.3526701140506905,2.313583824729653,1.880834091746836,0.09126957828363794,0.37735849056603776
20 days 00:00:00.000000000,5.311283537259293,2.304622211395892,1.8724219848548944,0.09079519669633561,0.37735849056603776
20 days 00:00:00.000000000,5.337204532888521,2.31023906401232,1.881980288341666,0.09114903418148398,0.36792452830188677
20 days 00:00:00.000000000,5.337342712095866,2.3102689696431162,1.8826163440721706,0.09117160072119282,0.36792452830188677
21 days 00:00:00.000000000,5.244324589592894,2.290049036503999,1.8568591244545818,0.09015498542574153,0.37735849056603776
21 days 00:00:00.000000000,5.206432171107591,2.281760761146442,1.8469215512081472,0.08968610048303285,0.3867924528301887
21 days 00:00:00.000000000,5.14113849852492,2.2674078809347296,1.8351291004874473,0.08922944287452854,0.3867924528301887
21 days 00:00:00.000000000,5.374596098294379,2.318317514555411,1.8725955083167671,0.09078156567752155,0.37735849056603776
22 days 00:00:00.000000000,5.431670342062548,2.3305944181823115,1.889502640834535,0.09181797562080217,0.36792452830188677
22 days 00:00:00.000000000,5.408372147362999,2.325590709338812,1.88410805597666,0.09155905145737646,0.36792452830188677
22 days 00:00:00.000000000,5.2396862734403875,2.2890361013842457,1.8486608817406018,0.08986991647095975,0.37735849056603776
22 days 00:00:00.000000000,5.140534076969257,2.26727459231767,1.8200347452822156,0.08814479073385754,0.3867924528301887
22 days 00:00:00.000000000,5.143405536550541,2.2679077442767688,1.821150899958238,0.08824098334310279,0.3867924528301887
23 days 00:00:00.000000000,5.048831082492446,2.246960409640643,1.7940114312196123,0.0866846387480704,0.39622641509433965
23 days 00:00:00.000000000,4.96428517807478,2.2280675883093806,1.767052282054262,0.08562885290881157,0.4056603773584906
23 days 00:00:00.000000000,4.986613792975639,2.2330727245156257,1.774424353762232,0.08599842873137074,0.4056603773584906
24 days 00:00:00.000000000,4.9858132993628015,2.232893481418852,1.7730863152487164,0.0859268352918989,0.4056603773584906
24 days 00:00:00.000000000,5.117213867806728,2.2621259619673544,1.7953541200777674,0.08703510394729842,0.4056603773584906
